Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-11,26.98,27.0,26.58,26.76,5434600,0.0,0
2019-12-12,26.99,27.92,26.85,27.62,9645300,0.0,0
2019-12-13,27.83,28.03,27.27,27.38,5965200,0.0,0
2019-12-16,27.52,28.25,27.5,27.82,6997300,0.0,0
2019-12-17,27.87,28.38,27.76,28.18,5920300,0.0,0
2019-12-18,28.25,28.46,27.83,27.9,4633800,0.0,0
2019-12-19,27.9,28.46,27.83,28.44,6295100,0.0,0
2019-12-20,28.56,28.94,28.39,28.93,12277100,0.0,0
2019-12-23,29.14,29.61,29.09,29.19,9291100,0.0,0
2019-12-24,29.21,29.32,28.99,29.07,2373600,0.0,0
2019-12-26,29.21,29.6,29.15,29.56,4746500,0.0,0
2019-12-27,29.65,29.7,28.26,28.34,8416500,0.0,0
2019-12-30,28.4,28.42,27.97,28.2,4940300,0.0,0
2019-12-31,28.1,28.68,28.09,28.57,4396800,0.0,0
2020-01-02,28.87,29.19,28.54,28.98,6451100,0.0,0
2020-01-03,28.17,28.19,27.24,27.55,14008900,0.0,0
2020-01-06,27.09,27.39,26.98,27.22,6105800,0.0,0
2020-01-07,27.46,27.58,26.96,27.12,6105900,0.0,0
2020-01-08,27.0,27.99,26.97,27.74,10496800,0.0,0
2020-01-09,27.99,28.13,27.61,27.85,6898900,0.0,0
2020-01-10,27.86,27.89,27.15,27.22,8106800,0.0,0
2020-01-13,27.22,27.43,27.06,27.29,5874400,0.0,0
2020-01-14,27.81,28.3,27.25,27.43,8888900,0.0,0
2020-01-15,27.35,27.96,27.22,27.48,5689900,0.0,0
2020-01-16,27.69,28.16,27.66,28.13,6442800,0.0,0
2020-01-17,28.2,28.61,27.96,28.3,7379400,0.0,0
2020-01-21,27.87,27.89,26.95,27.1,16409400,0.0,0
2020-01-22,27.41,27.81,27.2,27.22,9852600,0.0,0
2020-01-23,27.29,28.88,25.94,28.69,25611100,0.0,0
2020-01-24,28.74,28.75,26.91,27.54,18067800,0.0,0
2020-01-27,26.47,26.5,25.28,26.01,21573800,0.0,0
2020-01-28,26.26,27.02,26.16,26.8,11939200,0.0,0
2020-01-29,26.78,27.39,26.64,26.7,9088700,0.0,0
2020-01-30,26.2,27.69,26.16,27.62,10685500,0.0,0
2020-01-31,27.4,27.42,26.49,26.74,11027900,0.0,0
2020-02-03,26.83,27.57,26.64,27.06,7631900,0.0,0
2020-02-04,27.68,28.61,27.55,28.43,10832900,0.1,0
2020-02-05,28.96,29.24,28.55,29.1,8959700,0.0,0
2020-02-06,29.26,29.45,28.14,28.3,8335800,0.0,0
2020-02-07,28.06,28.55,27.78,28.38,6231800,0.0,0
2020-02-10,28.19,28.81,27.98,28.79,15134300,0.0,0
2020-02-11,29.06,29.94,28.97,29.84,8977700,0.0,0
2020-02-12,30.0,30.78,29.99,30.47,9315400,0.0,0
2020-02-13,30.03,30.4,29.73,30.09,9119400,0.0,0
2020-02-14,30.01,30.27,29.14,29.2,5524800,0.0,0
2020-02-18,29.04,29.35,28.49,28.63,10485100,0.0,0
2020-02-19,28.84,28.88,28.31,28.33,8400700,0.0,0
2020-02-20,28.24,28.9,28.2,28.51,10093400,0.0,0
2020-02-21,28.12,28.3,27.17,27.82,11253600,0.0,0
2020-02-24,25.98,26.11,25.0,25.45,21713200,0.0,0
2020-02-25,25.62,25.75,23.05,23.12,22296900,0.0,0
2020-02-26,23.57,23.75,22.11,22.31,19610300,0.0,0
2020-02-27,20.85,22.48,19.77,20.6,31833600,0.0,0
2020-02-28,19.8,20.35,18.77,19.05,37166400,0.0,0
2020-03-02,19.05,19.06,17.51,18.86,38738000,0.0,0
2020-03-03,19.66,19.79,17.8,17.85,35402500,0.0,0
2020-03-04,18.36,18.55,17.3,18.53,44362100,0.0,0
2020-03-05,17.54,17.65,15.98,16.04,44656800,0.0,0
2020-03-06,15.02,17.12,14.8,15.97,54505000,0.0,0
2020-03-09,14.87,15.79,14.46,14.75,42558000,0.0,0
2020-03-10,15.82,17.67,14.61,17.0,56972700,0.0,0
2020-03-11,16.31,16.49,15.52,16.26,43705800,0.0,0
2020-03-12,14.05,15.75,13.33,13.45,53968500,0.0,0
2020-03-13,15.3,15.6,13.12,14.31,58376100,0.0,0
2020-03-16,12.41,16.2,12.0,15.92,84916800,0.0,0
2020-03-17,15.79,18.49,14.79,15.58,58055800,0.0,0
2020-03-18,14.24,14.28,10.17,11.65,78458800,0.0,0
2020-03-19,11.6,12.16,10.01,10.29,71584500,0.0,0
2020-03-20,10.65,12.0,10.3,10.38,62681800,0.0,0
2020-03-23,10.9,11.36,10.01,10.25,56427300,0.0,0
2020-03-24,11.96,14.81,11.54,13.92,101553100,0.0,0
2020-03-25,16.69,16.99,14.31,15.39,93795100,0.0,0
2020-03-26,16.06,17.24,15.16,15.66,77530600,0.0,0
2020-03-27,14.98,15.22,13.91,14.04,50783500,0.0,0
2020-03-30,13.2,13.22,11.81,12.25,50516800,0.0,0
2020-03-31,12.9,12.96,12.1,12.19,44851400,0.0,0
2020-04-01,11.45,11.48,10.5,10.69,56854400,0.0,0
2020-04-02,10.61,11.03,10.0,10.06,65534600,0.0,0
2020-04-03,10.34,10.49,9.09,9.39,87018900,0.0,0
2020-04-06,9.72,9.94,9.11,9.5,94272300,0.0,0
2020-04-07,11.07,12.2,10.05,10.22,138061000,0.0,0
2020-04-08,10.91,11.4,10.5,11.33,82718700,0.0,0
2020-04-09,12.64,13.4,11.82,12.51,117592800,0.0,0
2020-04-13,12.9,12.95,11.25,11.56,73385500,0.0,0
2020-04-14,12.22,12.6,11.75,11.95,68039500,0.0,0
2020-04-15,12.52,12.69,11.39,12.29,124719900,0.0,0
2020-04-16,11.91,12.03,11.05,11.07,83627000,0.0,0
2020-04-17,11.87,11.95,11.5,11.57,61279500,0.0,0
2020-04-20,11.15,11.35,10.72,11.06,58984900,0.0,0
2020-04-21,10.8,11.22,10.7,11.0,49882300,0.0,0
2020-04-22,11.09,11.13,10.02,10.27,76320100,0.0,0
2020-04-23,10.36,10.67,10.24,10.25,54598500,0.0,0
2020-04-24,10.4,10.5,9.9,10.31,67234900,0.0,0
2020-04-27,10.53,10.53,10.0,10.02,67378800,0.0,0
2020-04-28,10.29,11.63,10.21,11.26,114643000,0.0,0
2020-04-29,12.1,12.89,12.02,12.63,113669400,0.0,0
2020-04-30,11.92,12.59,11.26,12.01,94567100,0.0,0
2020-05-01,11.41,11.66,10.58,10.64,99441400,0.0,0
2020-05-04,9.41,10.17,9.15,9.82,125580000,0.0,0
2020-05-05,10.26,10.38,9.5,9.51,86943900,0.0,0
2020-05-06,9.58,9.73,9.09,9.25,68991000,0.0,0
2020-05-07,9.3,9.8,9.29,9.54,61817000,0.0,0
2020-05-08,9.78,10.15,9.68,10.14,59649800,0.0,0
2020-05-11,9.92,10.25,9.59,10.1,48499000,0.0,0
2020-05-12,10.01,10.2,9.6,9.65,46833100,0.0,0
2020-05-13,9.52,9.53,8.83,9.11,68704600,0.0,0
2020-05-14,8.77,9.19,8.25,9.15,72320500,0.0,0
2020-05-15,8.85,9.36,8.76,9.04,39560500,0.0,0
2020-05-18,9.62,9.94,9.36,9.87,76624400,0.0,0
2020-05-19,10.14,10.19,9.59,9.64,62242500,0.0,0
2020-05-20,9.91,10.14,9.77,9.87,44006700,0.0,0
2020-05-21,9.87,10.15,9.83,9.89,45785700,0.0,0
2020-05-22,10.02,10.12,9.63,9.7,37596800,0.0,0
2020-05-26,10.27,11.28,10.25,11.14,101717000,0.0,0
2020-05-27,12.43,12.55,11.07,11.98,99314800,0.0,0
2020-05-28,11.78,11.83,10.9,10.98,70488800,0.0,0
2020-05-29,10.48,10.87,10.32,10.5,59054700,0.0,0
2020-06-01,10.79,11.33,10.62,11.11,50313500,0.0,0
2020-06-02,11.4,11.64,10.97,11.22,49148600,0.0,0
2020-06-03,11.56,12.2,11.44,11.85,86685300,0.0,0
2020-06-04,12.85,18.18,12.63,16.72,399432600,0.0,0
2020-06-05,21.25,22.8,17.8,18.59,428617100,0.0,0
2020-06-08,19.86,20.36,19.13,20.31,175418900,0.0,0
2020-06-09,18.45,18.97,17.61,18.55,110742800,0.0,0
2020-06-10,17.69,18.16,15.92,17.02,162155638,0.0,0
