Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-25,250.75,258.25,244.3,245.52,75900500,0,0
2020-03-26,246.52,258.68,246.36,258.44,63021800,0,0
2020-03-27,252.75,255.87,247.05,247.74,51054200,0,0
2020-03-30,250.74,255.52,249.4,254.81,41994100,0,0
2020-03-31,255.6,262.49,252.0,254.29,49250500,0,0
2020-04-01,246.5,248.72,239.13,240.91,44054600,0,0
2020-04-02,240.34,245.15,236.9,244.93,41483500,0,0
2020-04-03,242.8,245.7,238.97,241.41,32470000,0,0
2020-04-06,250.9,263.11,249.38,262.47,50455100,0,0
2020-04-07,270.8,271.7,259.0,259.43,50721800,0,0
2020-04-08,262.74,267.37,261.23,266.07,42223800,0,0
2020-04-09,268.7,270.07,264.7,267.99,40529100,0,0
2020-04-13,268.31,273.7,265.83,273.25,32755700,0,0
2020-04-14,280.0,288.25,278.05,287.05,48748700,0,0
2020-04-15,282.4,286.33,280.63,284.43,32788600,0,0
2020-04-16,287.38,288.2,282.35,286.69,39281300,0,0
2020-04-17,284.69,286.95,276.86,282.8,53812500,0,0
2020-04-20,277.95,281.68,276.85,276.93,32503800,0,0
2020-04-21,276.28,277.25,265.43,268.37,45247900,0,0
2020-04-22,273.61,277.9,272.2,276.1,29264300,0,0
2020-04-23,275.87,281.75,274.87,275.03,31128600,0,0
2020-04-24,277.2,282.97,277.0,282.97,30338976,0,0
