Date,Firm,To Grade,From Grade,Action
2012-07-11,UBS,Buy,,init
2012-07-25,Goldman Sachs,Buy,,main
2012-07-25,JP Morgan,Overweight,,main
2012-07-25,Bank of America,Buy,,main
2012-07-25,BMO Capital,Outperform,,main
2012-07-25,Raymond James,Outperform,,down
2012-07-25,Morgan Stanley,Overweight,,main
2012-07-25,Canaccord Genuity,Buy,,main
2012-07-26,Phillip Securities,Neutral,,down
2012-08-09,Stifel Nicolaus,Buy,,init
2012-08-17,Jefferies,Buy,,main
2012-08-21,Oracle Investment Research,Hold,,down
2012-08-22,Needham,Buy,,main
2012-08-27,Oppenheimer,Outperform,,main
2012-08-27,Bank of America,Buy,,main
2012-09-04,Wedbush,Outperform,,main
2012-09-05,JP Morgan,Overweight,,main
2012-09-06,Societe Generale,Buy,,main
2012-09-10,Monness Crespi Hardt,Buy,,init
2012-09-12,Hudson Square,Buy,,main
2012-09-12,Hudson Square,Buy,,main
2012-09-13,UBS,Buy,,main
2012-09-13,Sterne Agee,Buy,,main
2012-09-13,Barclays,Overweight,,main
2012-09-13,Goldman Sachs,Buy,,main
2012-09-13,Deutsche Bank,Buy,,main
2012-09-14,Hilliard Lyons,Buy,,main
2012-09-17,BMO Capital,Outperform,,main
2012-09-18,Bank of America,Buy,,main
2012-09-18,Sterne Agee,Buy,,main
2012-09-21,Deutsche Bank,Buy,,main
2012-09-21,"Crowell, Weedon & Co.",Buy,,main
2012-10-09,Nomura,Neutral,,init
2012-10-24,Barclays,Overweight,,main
2012-10-24,Canaccord Genuity,Buy,,main
2012-10-26,FBN Securities,Outperform,,main
2012-10-26,Deutsche Bank,Buy,,main
2012-10-26,Nomura,Neutral,,main
2012-11-01,Oracle Investment Research,Buy,,up
2012-11-09,Avondale Partners,Market Perform,,init
2012-11-19,Bank of America,Buy,,main
2012-11-26,Citigroup,Buy,,init
2012-12-03,ABG Sundal Collier,,,init
2012-12-05,Oracle Investment Research,Strong Buy,,up
2012-12-10,Jefferies,Buy,,main
2012-12-14,UBS,Buy,,main
2012-12-17,BMO Capital,Outperform,,main
2012-12-17,Mizuho,Buy,,main
2012-12-17,Citigroup,Neutral,,down
2012-12-17,Canaccord Genuity,,,reit
2012-12-17,Pacific Crest,Outperform,,main
2013-01-07,Barclays,Overweight,,main
2013-01-10,PiperJaffray,Overweight,,main
2013-01-11,Credit Agricole,Buy,,main
2013-01-15,Nomura,Neutral,,main
2013-01-16,Stifel,Buy,,main
2013-01-16,Stifel,Buy,,main
2013-01-16,BGC Financial,Hold,,main
2013-01-16,Bank of America,Buy,,main
2013-01-16,Pacific Crest,Sector Perform,,down
2013-01-17,JP Morgan,Overweight,,main
2013-01-17,BMO Capital,Outperform,,main
2013-01-22,Scotiabank,Sector Outperform,,main
2013-01-22,UBS,Buy,,main
2013-01-22,"Monness, Crespi, Hardt",Buy,,main
2013-01-24,Hilliard Lyons,Long-term Buy,,down
2013-01-24,FBN Securities,Outperform,,main
2013-01-24,Jefferies,Hold,,down
2013-01-24,Credit Suisse,Outperform,,main
2013-01-24,BMO Capital,Outperform,,main
2013-01-24,Topeka,Buy,,main
2013-01-24,Scotiabank,Sector Perform,,down
2013-01-24,Barclays,Overweight,,main
2013-01-24,PiperJaffray,Overweight,,main
