Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-04-26,1.4768,1.4872,1.4763,1.4846,70000,0.0,0.0
2010-04-27,1.4764,1.4813,1.4238,1.424,422500,0.0,0.0
2010-04-28,1.4362,1.451,1.4036,1.4205,112500,0.0,0.0
2010-04-29,1.4473,1.466,1.4411,1.4646,617500,0.0,0.0
2010-04-30,1.4716,1.4757,1.4562,1.4702,967500,0.0,0.0
2010-05-03,1.5033,1.5033,1.4496,1.4644,927500,0.0,0.0
2010-05-04,1.4416,1.4473,1.4248,1.4431,297500,0.0,0.0
2010-05-05,1.4337,1.4383,1.4086,1.4257,335000,0.0,0.0
2010-05-06,1.4118,1.4231,1.33,1.3696,735000,0.0,0.0
2010-05-07,1.3856,1.4064,1.3624,1.3825,167500,0.0,0.0
2010-05-10,1.4451,1.47,1.4451,1.47,30000,0.0,0.0
2010-05-11,1.4667,1.4815,1.4667,1.4684,70000,0.0,0.0
2010-05-12,1.4764,1.5355,1.4649,1.4878,397500,0.0,0.0
2010-05-13,1.4784,1.49,1.4773,1.4773,147500,0.0,0.0
2010-05-14,1.4684,1.4689,1.4282,1.4435,50000,0.0,0.0
2010-05-17,1.4684,1.4684,1.424,1.4524,87500,0.0,0.0
2010-05-18,1.4723,1.4803,1.4348,1.439,122500,0.0,0.0
2010-05-19,1.4079,1.4205,1.3865,1.4205,167500,0.0,0.0
2010-05-20,1.3858,1.3858,1.3342,1.3584,127500,0.0,0.0
2010-05-21,1.3145,1.3926,1.3145,1.3769,202500,0.0,0.0
2010-05-24,1.3849,1.3997,1.3774,1.3774,120000,0.0,0.0
2010-05-25,1.3428,1.3861,1.3297,1.3856,227500,0.0,0.0
2010-05-26,1.3855,1.4202,1.3674,1.3761,147500,8e-05,0.0
2010-05-27,1.394,1.4305,1.3905,1.4258,720000,0.0,0.0
2010-05-28,1.417,1.438,1.4062,1.4352,315000,0.0,0.0
2010-06-01,1.4144,1.4308,1.3991,1.4135,537500,0.0,0.0
2010-06-02,1.4258,1.4599,1.4106,1.4582,162500,0.0,0.0
2010-06-03,1.4728,1.4965,1.4414,1.4648,145000,0.0,0.0
2010-06-04,1.4632,1.4632,1.4362,1.4484,257500,0.0,0.0
2010-06-07,1.4557,1.4707,1.4557,1.4571,132500,0.0,0.0
2010-06-08,1.4705,1.4817,1.4437,1.4571,165000,0.0,0.0
2010-06-09,1.4705,1.5024,1.4641,1.4641,145000,0.0,0.0
2010-06-10,1.4902,1.5321,1.4902,1.5213,75000,0.0,0.0
2010-06-11,1.5017,1.5136,1.5009,1.5077,92500,0.0,0.0
2010-06-14,1.5152,1.5185,1.5049,1.518,55000,0.0,0.0
2010-06-15,1.5361,1.5521,1.5169,1.5476,177500,0.0,0.0
2010-06-16,1.541,1.5652,1.541,1.5652,27500,0.0,0.0
2010-06-17,1.5769,1.5769,1.5483,1.573,182500,0.0,0.0
2010-06-18,1.5687,1.5767,1.5641,1.5746,42500,0.0,0.0
2010-06-21,1.6007,1.6088,1.5913,1.5936,110000,0.0,0.0
2010-06-22,1.5797,1.6189,1.5797,1.5983,77500,0.0,0.0
2010-06-23,1.5953,1.5978,1.5729,1.5978,60000,0.0,0.0
2010-06-24,1.5847,1.5861,1.5584,1.5584,97500,0.0,0.0
2010-06-25,1.5695,1.5765,1.5695,1.5732,30000,0.0,0.0
2010-06-28,1.7238,1.7238,1.5702,1.6,117500,0.0,0.0
2010-06-29,1.5739,1.5781,1.5483,1.5512,137500,0.0,0.0
2010-06-30,1.56,1.56,1.503,1.503,57500,0.0,0.0
2010-07-01,1.5859,1.5859,1.4721,1.5162,132500,0.0,0.0
2010-07-02,1.5268,1.5352,1.5267,1.5352,90000,0.0,0.0
2010-07-06,1.5505,1.579,1.5415,1.5415,145000,0.0,0.0
2010-07-07,1.5526,1.6035,1.5472,1.6035,152500,0.0,0.0
2010-07-08,1.5997,1.5997,1.5694,1.588,177500,0.0,0.0
2010-07-09,1.5896,1.6079,1.5896,1.6048,92500,0.0,0.0
2010-07-12,1.6041,1.6041,1.5647,1.5687,190000,0.0,0.0
2010-07-13,1.6027,1.6027,1.5826,1.5861,112500,0.0,0.0
2010-07-14,1.5704,1.5927,1.5704,1.5828,230000,0.0,0.0
2010-07-15,1.5774,1.5892,1.5633,1.5892,165000,0.0,0.0
2010-07-16,1.5854,1.603,1.5851,1.5861,250000,0.0,0.0
