Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,16.97,17.2,16.47,17.04,19279400,0,0
2020-03-02,17.29,18.15,17.18,18.15,16209500,0,0
2020-03-03,18.12,18.65,17.68,17.88,10664600,0,0
2020-03-04,18.23,18.58,17.98,18.24,12393800,0,0
2020-03-05,18.02,18.08,17.65,17.7,9208800,0,0
2020-03-06,17.23,17.36,16.65,17.1,19461800,0,0
2020-03-09,16.03,16.23,15.43,15.59,12989100,0,0
2020-03-10,16.15,16.26,15.11,15.41,13684400,0,0
2020-03-11,15.09,15.16,14.29,14.39,19354300,0,0
2020-03-12,12.61,12.65,11.29,11.56,19307700,0,0
2020-03-13,12.92,13.17,11.0,12.01,17265500,0,0
2020-03-16,11.4,13.43,11.06,11.81,26205800,0,0
2020-03-17,12.12,12.29,11.2,11.81,24951800,0,0
2020-03-18,11.19,11.35,6.25,9.73,33698100,0,0
2020-03-19,9.5,10.15,8.12,9.38,16624700,0,0
2020-03-20,9.55,10.58,9.5,9.83,20127700,0,0
2020-03-23,9.85,10.81,9.15,10.44,25317500,0,0
2020-03-24,10.97,12.32,10.46,11.11,24260900,0,0
2020-03-25,11.62,13.83,11.44,12.5,22942700,0,0
2020-03-26,13.1,14.44,12.71,13.45,18514900,0,0
2020-03-27,12.91,13.59,12.65,13.15,13798600,0,0
2020-03-30,12.85,12.86,11.59,11.68,17377000,0,0
2020-03-31,11.55,11.65,10.11,10.58,20349200,0,0
2020-04-01,10.09,10.28,9.38,9.49,15587000,0,0
2020-04-02,9.6,10.13,9.51,9.8,12626800,0,0
2020-04-03,9.73,9.92,8.82,9.51,18763100,0,0
2020-04-06,10.46,10.5,9.81,10.38,14848400,0,0
2020-04-07,11.19,11.42,10.48,10.51,16965800,0,0
2020-04-08,11.14,11.66,10.8,11.27,19503000,0,0
2020-04-09,12.2,12.75,11.64,12.21,25451300,0,0
