Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-30,4.75,4.76,3.99,4.1,26494600,0.0,0
2020-03-31,4.4,4.57,4.1,4.17,31240200,0.0,0
2020-04-01,4.03,4.15,3.85,4.01,22611200,0.0,0
2020-04-02,4.74,5.28,4.3,4.68,53258000,0.0,0
2020-04-03,5.42,5.61,4.55,5.36,51801400,0.0,0
2020-04-06,5.18,5.98,5.11,5.85,28007900,0.0,0
2020-04-07,6.58,7.22,6.34,6.5,39030500,0.0,0
2020-04-08,6.81,7.6,6.7,7.56,35954800,0.0,0
2020-04-09,9.08,10.04,7.11,8.18,92823800,0.0,0
2020-04-13,8.76,8.96,8.01,8.36,35821100,0.0,0
2020-04-14,8.18,8.29,7.6,8.06,26955200,0.0,0
2020-04-15,7.1,8.05,7.06,7.92,24475600,0.0,0
2020-04-16,7.94,7.96,7.36,7.47,13095000,0.0,0
2020-04-17,7.43,8.47,7.4,8.46,26718200,0.0,0
2020-04-20,7.62,8.82,7.49,8.45,26625900,0.0,0
2020-04-21,8.19,8.81,8.06,8.57,22556500,0.025,0
2020-04-22,9.0,9.62,8.84,9.42,26466000,0.0,0
2020-04-23,9.82,10.97,9.8,10.5,38583000,0.0,0
2020-04-24,11.12,11.45,10.16,10.69,40004000,0.0,0
2020-04-27,10.2,10.8,9.75,10.5,25828500,0.0,0
2020-04-28,10.85,10.94,10.2,10.68,16888044,0.0,0
