Symbol,Name,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
MMM,3M Company,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm
WBAI,500.com Limited,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
AIR,AAR Corp.,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ABB,ABB Ltd,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq
AOD,Aberdeen Total Dynamic Dividend Fund,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr
ACEL,"Accel Entertainment, Inc.",2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACEL.WS,"Accel Entertainment, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/acel.ws
ACN,Accenture plc,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv
AYI,"Acuity Brands, Inc. ",n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,2016,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
ADNT,Adient plc,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADT,ADT Inc.,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge
