Symbol,Name,IPOyear,Sector,industry,Summary Quote
TXG,"10x Genomics, Inc.",2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
JOBS,"51job, Inc.",2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
JFK,8i Enterprises Acquisition Corp,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
