Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-25,188.32,190.72,187.88,190.45,19157700,0,0
2019-11-26,190.39,195.0,189.04,194.7,51832300,0,0
2019-11-27,197.24,200.98,197.0,200.82,33040500,0,0
2019-11-29,199.81,200.43,198.35,200.0,18593100,0,0
2019-12-02,198.58,198.67,193.51,196.31,19357700,0,0
2019-12-03,190.97,195.0,189.85,194.9,18355300,0,0
2019-12-04,195.53,196.66,193.23,193.74,14849300,0,0
2019-12-05,196.93,200.94,196.43,200.0,22290200,0,0
2019-12-06,201.11,202.0,199.51,201.89,14087300,0,0
2019-12-09,200.32,203.43,198.55,198.74,14258100,0,0
2019-12-10,200.71,202.48,199.23,200.45,11623900,0,0
2019-12-11,201.1,204.8,200.72,204.64,11760000,0,0
2019-12-12,203.71,206.0,202.0,204.5,22448600,0,0
2019-12-13,205.76,207.1,203.77,204.91,19270400,0,0
2019-12-16,206.33,209.15,206.19,206.97,16734300,0,0
2019-12-17,208.69,208.87,206.82,208.18,11287600,0,0
2019-12-18,208.53,210.05,208.04,210.0,13481800,0,0
2019-12-19,209.61,211.37,209.23,210.13,12167300,0,0
2019-12-20,211.35,213.98,210.42,212.25,26670000,0,0
2019-12-23,213.25,215.05,212.91,214.83,12535000,0,0
2019-12-24,215.01,215.43,213.35,214.26,5523000,0,0
2019-12-26,214.65,216.99,214.33,216.38,6907100,0,0
2019-12-27,217.99,218.11,215.17,215.47,11674200,0,0
2019-12-30,215.78,215.78,211.76,212.91,8732600,0,0
2019-12-31,212.0,213.64,210.73,212.1,6773600,0,0
2020-01-02,216.6,219.98,216.54,219.77,15873500,0,0
2020-01-03,216.35,218.2,216.01,217.0,8604500,0,0
2020-01-06,214.89,217.16,214.09,216.64,11885500,0,0
2020-01-07,217.64,218.94,216.69,217.63,9388000,0,0
2020-01-08,216.6,220.65,216.32,218.0,11959100,0,0
2020-01-09,221.5,223.08,220.82,221.78,13122500,0,0
2020-01-10,223.9,225.96,222.06,223.83,12296000,0,0
2020-01-13,228.81,231.14,227.04,230.48,17544800,0,0
2020-01-14,230.05,230.18,224.88,226.49,17266900,0,0
2020-01-15,226.65,227.82,224.39,225.06,10743400,0,0
2020-01-16,226.3,226.33,222.73,223.94,13700500,0,0
2020-01-17,225.9,228.0,225.35,227.43,12956200,0,0
2020-01-21,222.45,222.6,220.73,222.26,15831100,0,0
2020-01-22,224.69,225.58,222.0,222.37,10059600,0,0
2020-01-23,217.93,220.13,216.77,219.13,18519900,0,0
2020-01-24,218.49,219.83,211.32,213.75,18143900,0,0
