Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,30.06,31.3,29.71,31.29,26032800,0,0
2020-03-02,31.55,32.27,31.12,32.23,20401900,0,0
2020-03-03,32.5,32.9,31.45,31.92,20721900,0,0
2020-03-04,32.6,33.18,32.37,33.14,16523100,0,0
2020-03-05,32.6,32.75,32.2,32.6,14383500,0,0
2020-03-06,31.42,31.78,30.83,31.25,16798600,0,0
2020-03-09,24.83,26.12,24.2,25.28,46759600,0,0
2020-03-10,27.13,27.23,25.14,26.79,25094000,0,0
2020-03-11,25.54,25.79,24.37,24.66,28811600,0,0
2020-03-12,22.26,22.28,21.05,21.57,25202800,0,0
2020-03-13,22.57,22.61,20.5,22.17,21556500,0,0
2020-03-16,19.05,19.82,18.6,18.84,19486200,0,0
2020-03-17,18.57,19.15,17.5,18.84,20337900,0,0
2020-03-18,17.53,17.84,15.51,16.11,21048500,0,0
2020-03-19,16.15,17.82,15.77,17.0,17597700,0,0
2020-03-20,18.24,18.28,16.91,17.39,26443500,0,0
2020-03-23,17.99,18.65,17.33,18.19,32360200,0,0
2020-03-24,20.62,22.6,20.32,22.12,32232000,0,0
2020-03-25,23.93,25.4,23.12,24.29,37556700,0,0
2020-03-26,24.22,25.35,23.71,24.42,47558400,0,0
2020-03-27,22.97,23.02,22.08,22.35,23224900,0,0
2020-03-30,23.26,24.21,22.56,23.92,22853900,0,0
2020-03-31,24.98,25.84,24.02,24.39,21194600,0,0
2020-04-01,25.23,25.56,24.11,24.37,23461100,0,0
2020-04-02,25.97,27.55,25.06,26.03,34967000,0,0
2020-04-03,25.46,25.65,24.11,24.72,18464300,0,0
2020-04-06,24.71,25.19,24.33,25.05,14911400,0,0
2020-04-07,25.26,25.94,24.59,24.8,18976100,0,0
2020-04-08,24.7,25.5,24.53,25.39,13992300,0,0
2020-04-09,25.33,25.48,24.32,24.9,25680500,0,0
