Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-10,23.51,24.18,20.2,24.02,45551300,0,0
2020-03-11,22.89,23.7,20.41,21.75,38235000,0,0
2020-03-12,17.91,22.5,14.7,14.97,47752900,0,0
2020-03-13,18.34,18.46,15.01,17.58,55565800,0,0
2020-03-16,15.05,17.9,14.5,14.57,50744900,0,0
2020-03-17,14.77,14.89,12.08,12.71,41578700,0,0
2020-03-18,11.16,11.55,7.9,9.3,69931000,0,0
2020-03-19,9.13,10.4,8.6,10.0,52662000,0,0
2020-03-20,11.09,13.81,10.6,12.0,80096400,0,0
2020-03-23,11.27,12.45,10.61,12.0,52551800,0,0
2020-03-24,14.06,16.68,13.1,13.68,65012400,0,0
2020-03-25,15.05,17.07,13.12,15.55,78051700,0,0
2020-03-26,15.5,19.14,15.05,17.82,97446600,0,0
2020-03-27,16.0,16.16,14.05,14.41,64592400,0,0
2020-03-30,13.44,13.47,11.71,12.8,46165600,0,0
2020-03-31,10.95,14.55,10.95,13.17,112205700,0,0
2020-04-01,12.6,12.61,8.61,8.8,182979300,0,0
2020-04-02,8.01,8.53,7.8,7.97,262061100,0,0
2020-04-03,8.29,8.74,8.02,8.49,124436200,0,0
2020-04-06,9.28,10.96,9.14,10.21,195697600,0,0
2020-04-07,12.35,12.95,11.05,11.3,185454300,0,0
2020-04-08,11.86,12.19,11.36,11.99,108041200,0,0
2020-04-09,12.91,13.73,11.92,12.42,144691900,0,0
