Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,38.34,40.17,37.99,39.55,80194000,0.0,0
2020-03-02,39.77,40.8,38.55,40.78,48864300,0.0,0
2020-03-03,40.87,41.51,39.34,39.66,49294700,0.0,0
2020-03-04,40.34,41.06,39.43,41.0,30022100,0.0,0
2020-03-05,39.79,40.13,38.92,39.2,30255900,0.0,0
2020-03-06,37.64,39.57,37.44,39.31,48605600,0.0,0
2020-03-09,36.55,39.19,35.95,37.6,61535300,0.0,0
2020-03-10,38.88,39.77,37.51,39.7,50536500,0.0,0
2020-03-11,38.65,38.79,36.03,36.7,63594300,0.0,0
2020-03-12,34.18,35.48,32.69,32.89,51855300,0.0,0
2020-03-13,34.85,37.33,33.02,37.29,53859600,0.0,0
2020-03-16,32.92,36.64,32.1,33.39,44211300,0.0,0
2020-03-17,34.37,35.91,33.28,35.17,41572400,0.0,0
2020-03-18,33.44,37.36,33.0,36.77,56904300,0.0,0
2020-03-19,36.7,38.95,35.81,37.36,58319700,0.0,0
2020-03-20,37.91,38.11,35.07,35.27,48582500,0.0,0
2020-03-23,35.18,35.48,33.42,34.28,39823400,0.0,0
2020-03-24,36.07,38.32,35.21,38.24,48235600,0.0,0
2020-03-25,38.29,39.57,37.15,37.32,42873900,0.0,0
2020-03-26,37.61,40.54,37.02,40.2,38473300,0.0,0
2020-03-27,38.84,39.77,38.05,38.46,31278600,0.0,0
2020-03-30,39.08,40.11,38.59,39.94,27120300,0.0,0
2020-03-31,39.75,40.04,38.74,38.94,26014200,0.0,0
2020-04-01,37.81,38.5,37.51,37.97,26790700,0.0,0
2020-04-02,37.84,39.95,37.47,39.8,28180500,0.36,0
2020-04-03,39.82,40.29,38.54,39.06,21235200,0.0,0
2020-04-06,40.46,41.68,39.78,41.43,31641400,0.0,0
2020-04-07,42.66,42.74,40.59,40.64,30366100,0.0,0
2020-04-08,41.17,42.2,40.87,41.74,22683500,0.0,0
2020-04-09,42.09,42.2,40.85,41.2,27643900,0.0,0
