Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,7.0924,7.2697,6.8855,7.2598,12355500,0.0,0
2020-03-02,7.3879,7.3879,7.0727,7.3485,6060700,0.0,0
2020-03-03,7.3682,7.447,6.9545,6.984,7107300,0.0,0
2020-03-04,7.1022,7.2106,6.7279,6.8658,6130900,0.0,0
2020-03-05,6.6688,6.7673,6.521,6.5703,6499900,0.0,0
2020-03-06,6.3142,6.4718,5.733,5.8019,10926500,0.0,0
2020-03-09,3.9106,3.9402,2.6596,2.7581,27812000,0.0,0
2020-03-10,3.7038,3.7038,2.7877,3.0537,23828600,0.0,0
2020-03-11,2.9453,3.0438,2.8566,2.965,24814200,0.0,0
2020-03-12,2.82,2.82,2.48,2.61,10551200,0.045,0
2020-03-13,2.78,3.01,2.73,3.0,15214300,0.0,0
2020-03-16,2.62,2.63,2.36,2.45,7893000,0.0,0
2020-03-17,2.5,2.5,1.85,1.93,11548500,0.0,0
2020-03-18,1.8,1.92,1.41,1.6,10648800,0.0,0
2020-03-19,1.64,1.73,1.53,1.64,14511100,0.0,0
2020-03-20,1.76,1.82,1.63,1.66,13884100,0.0,0
2020-03-23,1.71,1.8,1.56,1.61,7915700,0.0,0
2020-03-24,1.77,1.79,1.69,1.78,8678100,0.0,0
2020-03-25,1.86,2.2,1.78,2.01,14282600,0.0,0
2020-03-26,2.03,2.16,1.83,1.89,12608500,0.0,0
2020-03-27,1.85,1.87,1.64,1.69,7219300,0.0,0
2020-03-30,1.7,1.73,1.57,1.71,16008000,0.0,0
2020-03-31,1.88,2.12,1.8,2.02,15409300,0.0,0
2020-04-01,1.93,2.05,1.78,1.91,10817200,0.0,0
2020-04-02,2.14,2.51,2.04,2.36,19553800,0.0,0
2020-04-03,2.68,2.69,2.17,2.43,18311000,0.0,0
2020-04-06,2.5,2.76,2.41,2.68,14544500,0.0,0
2020-04-07,2.87,3.14,2.71,2.75,16621000,0.0,0
2020-04-08,2.81,2.97,2.63,2.95,17289600,0.0,0
2020-04-09,3.08,3.11,2.63,2.76,20377000,0.0,0
