Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,3.11,3.3,3.01,3.28,13112100,0,0
2020-03-02,3.32,3.42,3.23,3.38,11460600,0,0
2020-03-03,3.36,3.6,3.31,3.42,18669300,0,0
2020-03-04,3.49,3.52,3.35,3.47,4912000,0,0
2020-03-05,3.37,3.39,3.12,3.19,6432900,0,0
2020-03-06,3.08,3.1,2.9,2.92,10885700,0,0
2020-03-09,2.65,2.86,2.53,2.56,10052300,0,0
2020-03-10,2.71,2.74,2.61,2.71,19072000,0,0
2020-03-11,2.62,2.69,2.58,2.6,14930100,0,0
2020-03-12,2.45,2.5,2.25,2.35,16422000,0,0
2020-03-13,2.48,2.55,2.33,2.46,11567800,0,0
2020-03-16,2.01,2.26,1.88,1.93,7133800,0,0
2020-03-17,2.0,2.34,1.8,2.17,22669700,0,0
2020-03-18,2.01,2.16,1.9,1.99,13339300,0,0
2020-03-19,2.0,2.04,1.82,1.86,8012400,0,0
2020-03-20,1.92,1.96,1.72,1.73,15812400,0,0
2020-03-23,1.76,1.79,1.55,1.63,10032300,0,0
2020-03-24,1.74,1.83,1.68,1.75,7759300,0,0
2020-03-25,1.79,1.91,1.72,1.73,14834100,0,0
2020-03-26,1.76,2.03,1.75,1.99,13591000,0,0
2020-03-27,1.93,1.93,1.83,1.85,12088900,0,0
2020-03-30,1.86,1.88,1.79,1.83,8831100,0,0
2020-03-31,1.87,2.18,1.82,2.12,21694700,0,0
2020-04-01,2.06,2.11,1.91,1.91,9728300,0,0
2020-04-02,1.9,1.99,1.82,1.88,9352800,0,0
2020-04-03,1.87,1.9,1.66,1.74,11285900,0,0
2020-04-06,1.83,1.95,1.8,1.95,9832900,0,0
2020-04-07,2.1,2.21,2.02,2.06,13858900,0,0
2020-04-08,2.08,2.14,2.01,2.12,8024100,0,0
2020-04-09,2.18,2.4,2.18,2.25,8200300,0,0
