Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,23.03,23.15,22.92,23.09,9670500,0.0,0
2020-03-02,23.1,23.3,23.0,23.3,8681600,0.0,0
2020-03-03,23.19,23.32,23.09,23.23,6595100,0.0,0
2020-03-04,23.27,23.27,23.05,23.22,5868200,0.0,0
2020-03-05,23.12,23.15,18.32,19.18,49714700,0.0,0
2020-03-06,16.61,17.16,15.92,16.37,51673600,0.0,0
2020-03-09,15.41,16.3,14.91,15.28,18641500,0.0,0
2020-03-10,22.4,22.77,22.0,22.75,50958300,0.0,0
2020-03-11,22.41,23.26,22.4,22.92,23801700,0.0,0
2020-03-12,22.34,23.01,22.27,22.91,17625000,0.0,0
2020-03-13,23.01,23.19,22.89,23.11,15672600,0.0,0
2020-03-16,22.39,22.85,21.11,21.32,12351200,0.0,0
2020-03-17,21.73,22.43,19.92,22.21,18200100,0.0,0
2020-03-18,21.37,22.23,20.0,21.13,12819300,0.0,0
2020-03-19,21.05,22.11,20.5,22.0,11219200,0.0,0
2020-03-20,22.26,22.53,21.7,22.11,10456800,0.0,0
2020-03-23,22.26,22.8,22.12,22.6,10324000,0.0,0
2020-03-24,22.88,23.1,22.72,23.03,8960300,0.0,0
2020-03-25,22.95,23.33,22.86,23.0,9445100,0.11,0
2020-03-26,23.1,23.28,23.0,23.04,8150500,0.0,0
2020-03-27,22.95,23.19,22.95,23.12,5124100,0.0,0
2020-03-30,23.18,23.23,23.05,23.22,7092000,0.0,0
2020-03-31,23.16,23.58,23.14,23.32,7656100,0.0,0
2020-04-01,23.17,23.5,23.17,23.4,9051800,0.0,0
2020-04-02,23.38,23.45,23.19,23.31,5237100,0.0,0
2020-04-03,23.3,23.34,23.18,23.31,7452000,0.0,0
2020-04-06,23.44,23.45,23.29,23.42,4847300,0.0,0
2020-04-07,23.81,23.82,23.8,23.81,60984800,0.0,0
2020-04-08,23.81,23.82,23.8,23.82,13235600,0.0,0
2020-04-09,23.82,23.83,23.81,23.82,7967200,0.0,0
