Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-25,31.49,33.28,27.4,31.1,70733900,0,0
2020-03-26,32.61,35.89,30.42,31.7,57779500,0,0
2020-03-27,30.72,31.32,29.02,29.55,34960700,0,0
2020-03-30,28.49,29.29,26.0,28.67,29527500,0,0
2020-03-31,29.35,30.53,28.42,28.53,25002300,0,0
2020-04-01,26.59,26.59,23.69,23.87,56133000,0,0
2020-04-02,23.92,24.65,22.51,22.68,39407400,0,0
2020-04-03,23.03,23.65,21.75,22.48,48967800,0,0
2020-04-06,22.31,23.5,20.76,22.32,95093000,0,0
2020-04-07,25.21,25.85,21.9,22.25,98907200,0,0
2020-04-08,23.09,23.64,22.53,23.23,67565200,0,0
2020-04-09,25.4,25.53,23.35,24.39,91692900,0,0
2020-04-13,24.98,25.06,22.08,23.25,76173000,0,0
2020-04-14,23.99,25.29,23.83,24.54,60843600,0,0
2020-04-15,24.91,25.5,23.31,24.35,88092500,0,0
2020-04-16,23.76,23.8,22.63,22.78,57610200,0,0
2020-04-17,24.15,24.61,23.59,24.27,52594500,0,0
2020-04-20,23.44,24.12,22.91,23.64,42950800,0,0
2020-04-21,23.02,23.77,22.8,23.1,38616700,0,0
2020-04-22,23.88,23.94,21.63,22.47,70221400,0,0
2020-04-23,22.65,22.96,22.41,22.48,43581800,0,0
2020-04-24,22.53,22.68,21.75,22.41,43694600,0,0
