Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,38.12,40.49,38.05,40.41,10281600,0,0
2020-03-02,41.05,41.42,39.78,41.42,7706700,0,0
2020-03-03,41.35,42.74,39.74,40.56,6765300,0,0
2020-03-04,41.45,41.97,40.21,41.91,4967000,0,0
2020-03-05,40.03,40.63,39.66,40.1,5447400,0,0
2020-03-06,38.72,39.69,38.31,38.97,6928400,0,0
2020-03-09,34.75,34.94,30.43,30.53,15081500,0,0
2020-03-10,32.51,33.33,29.32,31.4,12975400,0,0
2020-03-11,30.19,30.33,27.85,27.99,12444100,0,0
2020-03-12,25.45,26.39,22.39,23.67,18163300,0,0
2020-03-13,27.93,28.01,22.58,25.69,17350800,0,0
2020-03-16,23.1,25.43,21.95,22.0,12345400,0,0
2020-03-17,25.67,27.6,22.74,26.6,19873300,0,0
2020-03-18,24.84,28.29,24.51,26.44,16955900,0,0
2020-03-19,26.28,31.35,25.93,28.12,13893400,0,0
2020-03-20,28.59,29.69,26.59,27.44,12649100,0,0
2020-03-23,27.14,28.43,26.01,26.58,11703100,0,0
2020-03-24,28.66,29.96,26.9,28.47,12333600,0,0
2020-03-25,29.18,32.42,28.6,30.38,10539200,0,0
2020-03-26,30.28,31.3,28.95,29.68,14298600,0,0
2020-03-27,28.0,29.26,26.92,28.56,9101400,0,0
2020-03-30,28.31,29.39,27.81,28.65,6817000,0,0
2020-03-31,28.55,30.08,28.45,29.24,7599900,0,0
2020-04-01,27.84,28.27,26.94,27.04,10339900,0,0
2020-04-02,27.11,29.84,26.92,28.03,10680300,0,0
2020-04-03,27.78,28.57,27.42,27.97,8005100,0,0
2020-04-06,29.53,30.98,29.5,30.54,8021100,0,0
2020-04-07,32.76,35.07,31.81,32.33,15028000,0,0
2020-04-08,32.97,34.94,32.36,34.79,7220700,0,0
2020-04-09,35.75,37.74,35.54,36.56,9891300,0,0
