Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,182.7,192.74,181.82,192.47,32583500,0,0
2020-03-02,194.03,196.57,188.85,196.44,24949000,0,0
2020-03-03,196.22,197.24,183.97,185.89,27984100,0,0
2020-03-04,189.17,191.83,186.39,191.76,23062500,0,0
2020-03-05,186.78,188.99,183.89,185.17,19333400,0,0
2020-03-06,178.33,183.78,176.26,181.09,24559600,0,0
2020-03-09,169.6,175.0,165.19,169.5,29949000,0,0
2020-03-10,174.67,178.29,169.5,178.19,24517800,0,0
2020-03-11,174.01,175.88,167.66,170.24,20373900,0,0
2020-03-12,159.54,166.6,154.34,154.47,43266300,0,0
2020-03-13,163.53,170.79,157.6,170.28,35028600,0,0
2020-03-16,152.32,159.13,143.1,146.01,39120400,0,0
2020-03-17,150.74,153.94,140.0,149.42,34255600,0,0
2020-03-18,139.75,148.18,137.1,146.96,37553100,0,0
2020-03-19,146.62,159.93,144.8,153.13,39862300,0,0
2020-03-20,156.02,159.27,148.0,149.73,32568400,0,0
2020-03-23,149.66,152.31,142.25,148.1,29830800,0,0
2020-03-24,155.21,161.31,152.57,160.98,30440400,0,0
2020-03-25,158.92,162.99,153.06,156.21,35184300,0,0
2020-03-26,158.25,164.0,157.02,163.34,26556800,0,0
2020-03-27,158.2,160.09,154.75,156.79,24879900,0,0
2020-03-30,159.18,166.75,158.06,165.95,22515200,0,0
2020-03-31,165.48,170.93,164.2,166.8,23676300,0,0
2020-04-01,161.62,164.15,158.04,159.6,19507600,0,0
2020-04-02,159.1,161.35,155.92,158.19,20886300,0,0
2020-04-03,157.15,157.91,150.83,154.18,25983300,0,0
2020-04-06,160.15,166.2,158.51,165.55,28453600,0,0
2020-04-07,171.79,173.39,166.01,168.83,31411900,0,0
2020-04-08,171.25,175.0,167.74,174.28,21664200,0,0
2020-04-09,175.9,177.08,171.57,175.19,23522400,0,0
