Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-11,8.63,8.74,7.95,8.12,33944300,0,0
2020-03-12,7.17,7.75,6.81,7.17,37820700,0,0
2020-03-13,7.78,7.89,6.86,7.53,40387000,0,0
2020-03-16,6.44,6.97,6.2,6.24,40627300,0,0
2020-03-17,6.38,6.57,5.73,6.48,31925400,0,0
2020-03-18,5.89,6.0,4.85,5.31,37912700,0,0
2020-03-19,5.17,6.16,4.82,5.74,38977600,0,0
2020-03-20,6.07,6.14,5.37,5.52,39899900,0,0
2020-03-23,5.46,5.88,5.26,5.39,35098700,0,0
2020-03-24,6.08,7.24,6.07,6.99,47531300,0,0
2020-03-25,6.96,7.67,6.65,7.25,39768400,0,0
2020-03-26,7.26,7.37,6.82,6.99,32481300,0,0
2020-03-27,6.66,6.7,6.17,6.2,37285500,0,0
2020-03-30,6.27,6.3,5.99,6.24,22468300,0,0
2020-03-31,6.32,7.13,6.28,6.75,35490500,0,0
2020-04-01,6.35,6.76,6.24,6.31,27051100,0,0
2020-04-02,6.54,6.74,6.14,6.39,32168900,0,0
2020-04-03,6.36,6.74,6.2,6.32,26937200,0,0
2020-04-06,6.74,7.27,6.73,7.19,39115800,0,0
2020-04-07,7.86,8.02,7.45,7.59,43593400,0,0
2020-04-08,7.64,8.07,7.51,8.03,26970700,0,0
2020-04-09,8.31,8.43,8.01,8.19,35022100,0,0
