Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,69.52,70.42,66.02,68.72,33804800,0.0,0
2020-03-02,69.67,74.71,69.43,74.7,31113000,0.0,0
2020-03-03,73.58,74.13,70.85,73.53,24482000,0.0,0
2020-03-04,74.21,75.31,71.92,75.31,23741700,0.0,0
2020-03-05,74.31,76.78,73.84,75.43,22727600,0.0,0
2020-03-06,74.63,79.66,74.41,79.48,31704700,0.0,0
2020-03-09,77.2,77.47,72.42,72.84,32839400,0.0,0
2020-03-10,74.81,74.86,68.15,71.67,27660000,0.0,0
2020-03-11,73.22,74.68,72.11,73.02,32018600,0.0,0
2020-03-12,70.44,72.86,67.88,68.58,26364600,0.68,0
2020-03-13,71.93,72.0,67.5,70.75,30116100,0.0,0
2020-03-16,67.24,72.8,64.41,68.9,26764600,0.0,0
2020-03-17,70.0,76.08,69.0,74.52,28823700,0.0,0
2020-03-18,73.61,80.0,72.97,79.42,34965900,0.0,0
2020-03-19,80.98,85.97,78.29,78.55,46268200,0.0,0
2020-03-20,79.5,81.6,72.17,73.26,35110200,0.0,0
2020-03-23,75.3,75.3,68.86,72.61,19875200,0.0,0
2020-03-24,75.13,75.83,72.11,73.96,20608100,0.0,0
2020-03-25,73.87,74.49,69.34,69.66,24138100,0.0,0
2020-03-26,69.9,73.91,69.75,73.86,18351900,0.0,0
2020-03-27,73.71,75.39,71.91,72.85,16521600,0.0,0
2020-03-30,75.35,76.42,73.89,75.93,15929400,0.0,0
2020-03-31,75.95,76.33,73.79,74.76,12111900,0.0,0
2020-04-01,74.32,74.39,72.0,72.51,12177600,0.0,0
2020-04-02,71.81,77.48,71.38,76.98,20482100,0.0,0
2020-04-03,77.41,79.47,76.36,78.21,19421800,0.0,0
2020-04-06,79.24,79.65,75.88,77.73,19101100,0.0,0
2020-04-07,77.3,77.68,72.5,74.67,19917900,0.0,0
2020-04-08,74.73,75.13,73.57,74.99,12215400,0.0,0
2020-04-09,74.37,74.6,72.95,73.51,12798600,0.0,0
