Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,29.42,30.13,28.98,30.13,20832300,0.0,0
2020-03-02,30.15,31.07,29.38,31.04,14994600,0.0,0
2020-03-03,31.12,31.91,29.9,30.15,15816200,0.0,0
2020-03-04,30.63,31.19,29.99,31.15,16227800,0.0,0
2020-03-05,30.54,30.77,30.01,30.1,17921300,0.38,0
2020-03-06,29.21,29.54,28.45,28.69,20009500,0.0,0
2020-03-09,26.0,26.12,24.15,24.69,28350600,0.0,0
2020-03-10,25.98,27.14,24.59,27.12,18287700,0.0,0
2020-03-11,26.0,26.62,25.76,26.0,21309700,0.0,0
2020-03-12,23.6,24.35,22.5,23.04,20344500,0.0,0
2020-03-13,24.6,25.33,22.9,24.71,17909800,0.0,0
2020-03-16,21.51,22.41,21.0,21.0,18056800,0.0,0
2020-03-17,21.31,21.58,19.5,20.32,23544400,0.0,0
2020-03-18,18.83,19.05,14.33,16.8,39591100,0.0,0
2020-03-19,16.34,18.99,15.0,17.71,34361800,0.0,0
2020-03-20,18.42,18.96,17.68,18.14,35702000,0.0,0
2020-03-23,18.01,18.56,17.23,17.6,25419700,0.0,0
2020-03-24,19.32,21.67,18.6,21.11,24082900,0.0,0
2020-03-25,23.0,23.15,21.0,21.49,27617200,0.0,0
2020-03-26,21.64,22.97,21.06,22.56,16959000,0.0,0
2020-03-27,21.37,21.96,20.74,21.38,18349700,0.0,0
2020-03-30,22.31,22.48,20.63,21.32,18477800,0.0,0
2020-03-31,20.97,22.21,20.55,20.78,20303000,0.0,0
2020-04-01,19.5,20.17,18.99,19.26,17467100,0.0,0
2020-04-02,19.1,19.69,17.79,18.19,17920600,0.0,0
2020-04-03,18.4,18.78,17.85,18.04,13835500,0.0,0
2020-04-06,19.1,19.76,18.55,19.55,22442100,0.0,0
2020-04-07,21.27,22.21,20.71,21.3,30405600,0.0,0
2020-04-08,21.74,23.6,21.47,23.13,23774400,0.0,0
2020-04-09,24.16,24.99,23.58,24.06,22477800,0.0,0
