Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,13.25,13.96,13.22,13.8,11432700,0.0,0
2020-03-02,13.83,13.95,12.99,13.51,12373800,0.0,0
2020-03-03,13.56,14.14,13.17,13.31,9841500,0.0,0
2020-03-04,13.44,13.76,13.22,13.75,7287500,0.0,0
2020-03-05,13.37,13.48,12.68,12.87,7536800,0.0,0
2020-03-06,12.39,13.0,12.17,12.7,7394900,0.0,0
2020-03-09,11.84,11.91,11.12,11.34,8322700,0.0,0
2020-03-10,11.8,12.22,11.21,11.97,8773900,0.0,0
2020-03-11,11.59,11.65,10.53,10.57,13851400,0.0,0
2020-03-12,9.67,10.04,9.01,9.7,14243300,0.0,0
2020-03-13,10.39,10.94,9.91,10.41,17753200,0.0,0
2020-03-16,8.98,9.41,7.46,8.03,18884800,0.0,0
2020-03-17,8.07,8.23,6.54,8.04,17251400,0.0,0
2020-03-18,7.41,8.65,6.55,7.6,14057000,0.0,0
2020-03-19,7.38,8.27,6.95,7.77,10645900,0.0,0
2020-03-20,7.98,8.22,6.86,6.95,11055800,0.0,0
2020-03-23,6.87,6.96,5.82,6.05,13734800,0.0,0
2020-03-24,6.65,7.93,6.38,7.83,11112600,0.0,0
2020-03-25,8.21,9.34,7.49,8.65,12523000,0.0,0
2020-03-26,8.73,9.0,8.12,8.14,10839800,0.0,0
2020-03-27,7.53,7.71,7.13,7.5,8422300,0.0,0
2020-03-30,7.37,7.39,6.86,7.15,7686100,0.0,0
2020-03-31,6.93,7.16,6.65,6.78,9529200,0.0,0
2020-04-01,6.29,6.41,5.49,5.67,14975300,0.0,0
2020-04-02,5.61,5.91,5.07,5.3,17446000,0.0,0
2020-04-03,5.3,5.58,5.27,5.44,15268300,0.0,0
2020-04-06,5.99,6.55,5.89,6.35,14020100,0.0,0
2020-04-07,7.23,7.86,6.88,6.97,21926800,0.2425,0
2020-04-08,7.15,8.07,6.92,7.85,11661000,0.0,0
2020-04-09,8.35,9.39,8.25,9.09,18859300,0.0,0
