Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,16.58,16.97,16.13,16.78,27296100,0.0,0
2020-03-02,17.07,17.09,16.2,17.04,20530300,0.0,0
2020-03-03,16.74,17.08,15.71,15.95,26031300,0.18,0
2020-03-04,16.19,16.19,15.13,15.39,30188600,0.0,0
2020-03-05,15.0,15.04,14.42,14.74,28694400,0.0,0
2020-03-06,14.26,14.48,12.75,13.07,30003000,0.0,0
2020-03-09,9.74,9.74,7.9,8.15,74704100,0.0,0
2020-03-10,9.49,9.57,7.68,8.66,62821800,0.0,0
2020-03-11,8.13,8.33,7.77,7.83,35888800,0.0,0
2020-03-12,7.15,7.39,6.42,6.42,38621400,0.0,0
2020-03-13,7.32,7.35,6.32,7.15,43906600,0.0,0
2020-03-16,5.96,6.83,5.8,5.94,37973700,0.0,0
2020-03-17,6.13,6.4,5.58,6.14,36224500,0.0,0
2020-03-18,5.59,5.89,4.25,4.61,45137200,0.0,0
2020-03-19,4.78,5.34,4.5,4.8,39826500,0.0,0
2020-03-20,5.13,5.36,4.56,5.05,49166700,0.0,0
2020-03-23,5.2,5.38,4.9,5.24,27219200,0.0,0
2020-03-24,5.92,6.95,5.81,6.63,48419800,0.0,0
2020-03-25,7.52,7.52,6.04,6.77,51372200,0.0,0
2020-03-26,6.88,7.77,6.75,7.05,32866100,0.0,0
2020-03-27,6.57,6.81,6.18,6.39,33438800,0.0,0
2020-03-30,6.3,6.67,6.03,6.37,28100100,0.0,0
2020-03-31,6.8,6.99,6.54,6.85,34498500,0.0,0
2020-04-01,6.61,6.7,6.23,6.6,27200600,0.0,0
2020-04-02,6.81,8.2,6.76,7.52,51270900,0.0,0
2020-04-03,7.83,8.03,7.34,7.61,35876800,0.0,0
2020-04-06,7.83,8.0,7.61,7.91,28269000,0.0,0
2020-04-07,8.55,8.83,7.78,8.04,40153500,0.0,0
2020-04-08,8.3,8.79,8.27,8.75,27550400,0.0,0
2020-04-09,9.62,9.73,7.97,8.21,62286900,0.0,0
