Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,12.15,12.32,11.91,12.27,33656500,0,0
2020-03-02,12.23,13.13,11.97,12.94,19653100,0,0
2020-03-03,12.78,13.36,12.44,12.58,25218500,0,0
2020-03-04,12.7,12.82,12.39,12.65,21492600,0,0
2020-03-05,12.24,12.31,11.58,11.78,16861900,0,0
2020-03-06,11.12,11.61,10.87,11.12,20856400,0,0
2020-03-09,10.55,10.99,9.24,9.45,20120800,0,0
2020-03-10,9.93,10.19,9.25,9.97,20124300,0,0
2020-03-11,9.62,9.66,9.01,9.13,29290700,0,0
2020-03-12,8.39,9.05,7.96,8.38,17195700,0,0
2020-03-13,9.2,9.5,8.52,9.5,15997600,0,0
2020-03-16,7.94,8.55,7.75,8.43,15691400,0,0
2020-03-17,8.61,8.79,7.68,8.37,24100500,0,0
2020-03-18,7.82,7.99,7.35,7.72,16587900,0,0
2020-03-19,7.47,7.76,6.86,7.68,22654000,0,0
2020-03-20,7.8,8.07,7.25,7.62,20332400,0,0
2020-03-23,7.58,7.78,6.85,7.0,12937100,0,0
2020-03-24,7.42,7.67,7.23,7.43,19288000,0,0
2020-03-25,7.58,7.94,7.18,7.64,18525700,0,0
2020-03-26,7.51,8.6,7.44,8.5,15544400,0,0
2020-03-27,8.06,8.62,7.98,8.3,15901900,0,0
2020-03-30,8.23,8.45,7.93,8.38,10411800,0,0
2020-03-31,8.29,8.52,7.98,8.21,15633500,0,0
2020-04-01,7.8,7.81,7.34,7.45,10230600,0,0
2020-04-02,7.33,7.78,7.15,7.37,10177200,0,0
2020-04-03,7.29,7.45,6.82,6.83,13744500,0,0
2020-04-06,7.35,7.57,7.21,7.49,17535100,0,0
2020-04-07,8.01,8.39,7.75,8.13,21015000,0,0
2020-04-08,8.24,8.88,8.24,8.81,15218300,0,0
2020-04-09,9.12,9.57,8.84,9.03,20652300,0,0
