Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,12.47,13.26,12.47,13.24,16157200,0,0
2020-03-02,13.21,13.38,12.65,13.36,8246700,0,0
2020-03-03,13.08,13.21,12.28,12.35,17395500,0,0
2020-03-04,12.48,12.81,12.39,12.79,7930000,0,0
2020-03-05,12.48,12.71,12.27,12.4,5218400,0,0
2020-03-06,12.07,12.55,12.01,12.02,12445700,0,0
2020-03-09,11.19,11.57,10.81,11.26,7850600,0,0
2020-03-10,11.67,11.76,10.91,11.32,9166600,0,0
2020-03-11,11.05,11.05,10.0,10.17,12277100,0,0
2020-03-12,9.6,9.7,8.96,9.3,13302300,0,0
2020-03-13,9.91,9.93,8.63,9.68,10841500,0,0
2020-03-16,8.63,9.16,8.11,8.38,9935200,0,0
2020-03-17,8.52,9.85,7.89,9.8,11559400,0,0
2020-03-18,8.95,9.27,8.31,8.95,11320500,0,0
2020-03-19,8.82,9.3,8.0,9.19,10920200,0,0
2020-03-20,9.34,10.01,8.87,8.98,10508700,0,0
2020-03-23,10.5,10.5,8.51,8.98,15731500,0,0
2020-03-24,9.44,9.8,8.79,9.0,9359800,0,0
2020-03-25,9.3,9.32,8.15,8.92,15613800,0,0
2020-03-26,9.03,9.19,8.54,8.95,12652200,0,0
2020-03-27,8.61,8.82,7.7,8.19,12897700,0,0
2020-03-30,8.25,8.27,7.59,8.06,10015800,0,0
2020-03-31,8.02,8.29,7.83,7.87,7311400,0,0
2020-04-01,7.5,7.61,7.13,7.39,9043200,0,0
2020-04-02,7.34,7.74,7.06,7.25,10385300,0,0
2020-04-03,7.17,7.43,6.96,7.17,10551200,0,0
2020-04-06,7.57,8.4,7.42,8.05,13402700,0,0
2020-04-07,8.71,9.24,8.34,8.36,16392900,0,0
2020-04-08,8.59,9.57,8.56,9.21,13286000,0,0
2020-04-09,9.8,10.24,9.37,9.57,10998000,0,0
