Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,10.18,10.31,9.99,10.07,21543200,0,0
2020-03-02,10.13,10.39,10.03,10.36,16473900,0,0
2020-03-03,10.34,10.54,10.13,10.21,12922700,0,0
2020-03-04,10.35,10.48,10.22,10.47,12536000,0,0
2020-03-05,10.32,10.36,10.07,10.13,12249800,0,0
2020-03-06,9.96,10.04,9.59,9.78,15525700,0,0
2020-03-09,9.21,9.35,8.79,9.08,12921200,0,0
2020-03-10,9.42,9.45,9.01,9.19,21848100,0,0
2020-03-11,9.06,9.18,8.85,8.9,24616200,0,0
2020-03-12,8.3,8.39,8.0,8.05,17213700,0,0
2020-03-13,8.6,8.64,8.0,8.38,35410600,0,0
2020-03-16,7.35,7.87,7.24,7.37,19661600,0,0
2020-03-17,7.4,7.93,7.12,7.87,20011000,0,0
2020-03-18,7.1,7.53,7.08,7.35,25345100,0,0
2020-03-19,7.32,7.35,7.03,7.13,13834300,0,0
2020-03-20,7.5,7.56,6.86,6.94,22880400,0,0
2020-03-23,6.92,7.19,6.76,7.12,26046500,0,0
2020-03-24,7.83,8.06,7.51,7.74,20455100,0,0
2020-03-25,7.76,8.38,7.68,8.19,22259700,0,0
2020-03-26,8.5,9.13,8.42,9.1,29555000,0,0
2020-03-27,8.65,8.83,8.45,8.51,23759500,0,0
2020-03-30,8.41,8.65,8.35,8.49,13054500,0,0
2020-03-31,8.48,8.52,8.15,8.21,20571700,0,0
2020-04-01,7.87,8.02,7.76,7.78,15617300,0,0
2020-04-02,7.8,8.02,7.74,7.91,7323600,0,0
2020-04-03,7.8,7.81,7.46,7.56,15539600,0,0
2020-04-06,7.86,8.28,7.8,8.25,16003400,0,0
2020-04-07,8.67,8.77,8.35,8.38,15033000,0,0
2020-04-08,8.41,8.52,8.19,8.48,13721300,0,0
2020-04-09,8.55,8.68,8.47,8.52,9988000,0,0
