Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-25,52.48,53.79,49.91,51.26,41106100,0,0
2020-03-26,51.74,55.95,51.66,55.54,41459800,0,0
2020-03-27,53.42,54.64,52.07,52.37,31633500,0,0
2020-03-30,52.99,56.1,52.83,55.49,31628600,0,0
2020-03-31,55.06,55.8,53.22,54.12,48074700,0,0
2020-04-01,52.5,54.69,51.43,51.88,29586600,0,0
2020-04-02,51.29,54.56,51.22,54.35,27810000,0,0
2020-04-03,53.85,55.13,52.73,54.13,23906100,0,0
2020-04-06,56.63,58.77,56.12,58.43,32323400,0,0
2020-04-07,59.94,61.49,58.21,58.4,41410000,0,0
2020-04-08,58.99,59.51,57.91,58.98,26719500,0,0
2020-04-09,59.36,59.72,56.06,57.14,40515400,0,0
2020-04-13,56.57,58.77,56.57,58.7,23251900,0,0
2020-04-14,60.04,60.9,59.51,60.66,25674000,0,0
2020-04-15,59.74,59.83,58.39,58.87,22841600,0,0
2020-04-16,59.61,60.96,58.81,60.79,24433500,0,0
2020-04-17,62.02,62.13,59.83,60.36,27385600,0,0
2020-04-20,59.28,60.04,58.89,59.18,26420300,0,0
2020-04-21,58.11,58.6,55.93,56.36,25248000,0,0
2020-04-22,58.27,60.5,57.81,60.1,23443700,0,0
2020-04-23,59.67,60.1,58.81,59.04,35092000,0,0
2020-04-24,56.2,59.4,56.1,59.26,50187000,0,0
