Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-14,16.47,16.79,16.15,16.19,3749800,0,0
2019-10-15,16.33,16.7,16.29,16.58,7416700,0,0
2019-10-16,16.45,16.6,16.01,16.16,4323700,0,0
2019-10-17,16.38,16.47,16.19,16.3,2463600,0,0
2019-10-18,16.29,16.43,16.05,16.09,2999100,0,0
2019-10-21,16.26,16.72,16.21,16.53,4216200,0,0
2019-10-22,16.57,16.84,16.32,16.5,2902900,0,0
2019-10-23,16.39,16.82,16.39,16.67,3155700,0,0
2019-10-24,16.71,17.19,16.69,17.14,4577100,0,0
2019-10-25,17.06,17.69,17.02,17.36,3663400,0,0
2019-10-28,17.57,18.0,17.41,17.89,4315800,0,0
2019-10-29,17.7,17.7,17.03,17.37,4427300,0,0
2019-10-30,17.37,17.64,17.22,17.62,2342000,0,0
2019-10-31,17.5,17.59,17.26,17.43,2409700,0,0
2019-11-01,17.59,17.89,17.47,17.73,2832400,0,0
2019-11-04,18.04,18.36,17.9,17.99,5193600,0,0
2019-11-05,18.24,18.3,17.58,17.79,7592500,0,0
2019-11-06,17.9,18.0,17.37,17.46,6049200,0,0
2019-11-07,18.64,20.48,18.6,20.0,23967900,0,0
2019-11-08,19.74,19.94,19.29,19.52,9960700,0,0
2019-11-11,19.0,19.22,18.5,19.15,6393900,0,0
2019-11-12,19.03,19.31,18.87,19.11,4659400,0,0
2019-11-13,18.83,18.88,18.15,18.28,6529600,0,0
2019-11-14,18.19,18.22,16.96,17.19,14065800,0,0
2019-11-15,17.33,17.64,17.14,17.49,6223200,0,0
2019-11-18,17.63,18.24,17.53,18.0,6238800,0,0
2019-11-19,18.16,18.25,17.86,17.95,3696900,0,0
2019-11-20,17.72,18.09,17.66,17.98,2697700,0,0
2019-11-21,17.98,18.07,17.74,18.01,2765800,0,0
2019-11-22,18.04,18.45,17.9,18.41,3859500,0,0
2019-11-25,18.42,19.2,18.42,19.08,7001700,0,0
2019-11-26,19.0,19.37,18.89,19.21,4474200,0,0
2019-11-27,19.28,20.0,19.25,19.6,6067300,0,0
2019-11-29,18.8,19.2,17.57,19.15,4421200,0,0
2019-12-02,19.0,19.69,18.9,19.52,6167700,0,0
2019-12-03,18.84,19.48,18.84,19.4,3483400,0,0
2019-12-04,19.5,19.76,19.37,19.43,6030300,0,0
2019-12-05,19.5,19.78,19.42,19.5,4275400,0,0
2019-12-06,19.64,20.66,19.59,20.29,9956000,0,0
2019-12-09,20.15,20.52,20.1,20.2,7854000,0,0
2019-12-10,20.26,20.28,19.81,19.87,4130600,0,0
2019-12-11,19.87,20.07,19.59,19.99,3244200,0,0
2019-12-12,20.04,20.6,19.85,19.99,7017400,0,0
2019-12-13,20.0,20.76,19.86,20.4,9066200,0,0
2019-12-16,20.5,20.59,19.66,19.74,5901800,0,0
2019-12-17,19.8,20.1,19.67,19.95,6282300,0,0
2019-12-18,20.01,20.21,19.75,19.88,5596500,0,0
2019-12-19,19.88,20.81,19.85,20.7,6463700,0,0
2019-12-20,20.8,21.29,20.76,21.08,10557800,0,0
2019-12-23,21.12,21.39,21.03,21.31,6938400,0,0
2019-12-24,21.21,21.33,21.08,21.18,1504100,0,0
2019-12-26,21.2,21.7,21.2,21.61,2711700,0,0
2019-12-27,21.72,21.85,21.31,21.54,3862900,0,0
2019-12-30,21.13,21.53,21.08,21.27,4954100,0,0
2019-12-31,21.15,21.37,21.0,21.11,3957300,0,0
2020-01-02,21.54,22.97,21.5,22.97,11227200,0,0
2020-01-03,22.42,23.42,22.42,23.04,12904000,0,0
2020-01-06,22.76,23.33,22.56,23.12,7535300,0,0
2020-01-07,23.06,23.55,22.96,23.36,8139700,0,0
2020-01-08,23.33,24.14,23.28,24.02,8865500,0,0
2020-01-09,24.5,24.89,24.26,24.52,9342600,0,0
2020-01-10,24.81,24.81,23.47,23.9,8669000,0,0
2020-01-13,24.19,24.23,23.77,23.98,5491100,0,0
2020-01-14,23.55,24.12,23.55,23.87,9675700,0,0
2020-01-15,23.81,23.97,23.5,23.68,8568800,0,0
2020-01-16,23.79,23.97,23.49,23.78,4830600,0,0
2020-01-17,23.98,24.07,23.74,23.91,7780400,0,0
2020-01-21,23.19,23.99,22.86,23.91,7511500,0,0
2020-01-22,24.29,25.14,24.12,24.16,10480700,0,0
2020-01-23,23.8,24.07,23.6,23.93,4832400,0,0
2020-01-24,23.9,23.91,21.51,21.89,15722300,0,0
2020-01-27,20.81,22.24,20.4,21.99,7852700,0,0
2020-01-28,22.4,22.8,21.91,22.51,6785800,0,0
2020-01-29,22.72,22.8,22.31,22.53,6127200,0,0
2020-01-30,22.0,22.75,21.94,22.43,4821800,0,0
2020-01-31,22.37,22.41,21.8,22.24,5927200,0,0
2020-02-03,23.0,24.65,22.94,23.85,13494200,0,0
2020-02-04,24.78,24.8,23.99,24.14,8126300,0,0
2020-02-05,24.66,24.66,23.56,23.78,5821200,0,0
2020-02-06,23.98,25.11,23.81,24.8,10679700,0,0
2020-02-07,24.7,24.98,24.32,24.62,4132800,0,0
2020-02-10,24.63,25.47,24.62,25.35,9095000,0,0
2020-02-11,26.01,26.98,25.69,26.27,11181900,0,0
2020-02-12,26.79,27.5,26.58,27.07,12113800,0,0
2020-02-13,26.5,27.44,26.02,27.18,9059600,0,0
2020-02-14,27.42,27.48,26.75,26.93,4033900,0,0
2020-02-18,26.45,26.5,24.83,25.3,12435500,0,0
2020-02-19,25.55,25.75,24.82,25.05,9804500,0,0
2020-02-20,24.99,25.39,24.43,24.72,8496800,0,0
2020-02-21,24.49,24.7,23.88,24.1,5623300,0,0
2020-02-24,22.94,24.38,22.66,24.18,6856300,0,0
2020-02-25,24.75,24.8,23.64,23.98,11893800,0,0
2020-02-26,24.25,24.88,24.08,24.26,6448200,0,0
2020-02-27,24.19,25.0,23.51,24.42,10228300,0,0
2020-02-28,22.94,23.0,21.15,22.43,14990300,0,0
2020-03-02,22.83,23.83,22.2,23.79,7378200,0,0
2020-03-03,23.83,24.75,22.97,23.36,7186400,0,0
2020-03-04,23.74,24.12,23.55,23.93,5175100,0,0
2020-03-05,23.4,23.9,23.11,23.43,6389400,0,0
2020-03-06,22.83,23.05,20.93,21.5,10098700,0,0
2020-03-09,20.06,20.57,18.89,20.01,8376600,0,0
2020-03-10,20.84,21.04,19.98,20.85,4965100,0,0
2020-03-11,20.1,20.9,19.58,19.76,5628800,0,0
2020-03-12,18.37,18.96,16.27,18.54,8912100,0,0
2020-03-13,19.4,19.77,17.72,18.69,6237800,0,0
2020-03-16,16.92,18.39,16.51,17.57,6163800,0,0
2020-03-17,17.79,18.45,16.56,18.19,6426500,0,0
2020-03-18,16.5,17.79,15.82,17.02,6987200,0,0
2020-03-19,16.59,17.92,16.12,17.15,6306700,0,0
2020-03-20,17.89,18.25,17.24,17.54,5114200,0,0
2020-03-23,17.6,17.76,16.55,17.47,5387700,0,0
2020-03-24,18.46,18.97,17.8,18.71,6051300,0,0
2020-03-25,18.78,20.17,18.46,18.55,9415600,0,0
2020-03-26,18.99,19.83,18.75,19.51,5854900,0,0
2020-03-27,18.82,18.97,18.05,18.58,5736100,0,0
2020-03-30,18.76,18.82,18.21,18.66,8431200,0,0
2020-03-31,18.47,18.99,17.67,17.8,14388700,0,0
2020-04-01,17.59,18.58,17.27,18.18,4223300,0,0
2020-04-02,18.18,18.53,17.61,17.9,6242900,0,0
2020-04-03,17.85,17.86,16.57,17.06,8712500,0,0
2020-04-06,17.2,17.44,16.68,16.76,8542700,0,0
2020-04-07,17.5,17.55,14.51,17.3,60064600,0,0
2020-04-08,16.1,16.74,15.71,16.51,35105300,0,0
2020-04-09,16.45,17.79,16.39,17.37,17791900,0,0
2020-04-13,17.21,17.49,16.93,17.43,7980100,0,0
2020-04-14,18.0,18.56,17.88,18.11,5359829,0,0
