Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,15.7,16.24,15.42,15.78,12169400,0,0
2020-03-02,15.82,16.0,14.85,15.57,12108200,0,0
2020-03-03,16.08,16.11,14.89,15.01,10002500,0,0
2020-03-04,15.25,15.59,14.55,15.54,14953200,0,0
2020-03-05,14.91,14.99,13.76,13.86,14201100,0,0
2020-03-06,13.11,14.87,13.01,13.88,15994700,0,0
2020-03-09,13.4,14.11,13.12,13.4,16995800,0,0
2020-03-10,14.15,14.73,13.41,14.58,18521600,0,0
2020-03-11,14.0,14.0,13.13,13.57,21178800,0,0
2020-03-12,11.66,12.42,11.48,11.49,17103000,0,0
2020-03-13,12.35,12.64,10.2,11.18,22388300,0,0
2020-03-16,9.81,11.3,9.32,10.61,23343600,0,0
2020-03-17,10.82,10.94,9.46,9.52,15840300,0,0
2020-03-18,8.82,8.98,7.01,7.66,18738700,0,0
2020-03-19,7.65,8.28,6.7,7.6,12242300,0,0
2020-03-20,8.35,8.72,7.11,7.15,15599000,0,0
2020-03-23,7.55,7.69,6.61,6.86,19260400,0,0
2020-03-24,8.05,9.43,7.65,9.4,21198000,0,0
2020-03-25,11.4,12.15,10.06,11.34,27294400,0,0
2020-03-26,12.0,12.51,10.73,10.93,19007900,0,0
2020-03-27,10.52,10.56,9.61,9.75,10948700,0,0
2020-03-30,9.38,9.53,8.5,8.79,13437200,0,0
2020-03-31,9.17,9.45,8.79,8.95,10213600,0,0
2020-04-01,8.3,8.44,8.0,8.11,8438100,0,0
2020-04-02,8.01,8.28,7.56,7.63,8468400,0,0
2020-04-03,7.8,7.98,7.22,7.48,8196800,0,0
2020-04-06,7.82,8.23,7.25,7.73,13006300,0,0
2020-04-07,8.96,9.45,8.55,8.76,18291900,0,0
2020-04-08,9.03,9.15,8.77,9.03,12057400,0,0
2020-04-09,9.75,10.31,9.14,9.5,16941400,0,0
