Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,37.01,38.73,36.81,38.51,22978900,0,0
2020-03-02,41.38,44.12,40.25,43.3,45794500,0,0
2020-03-03,43.56,44.05,40.11,41.46,29036500,0,0
2020-03-04,42.49,44.76,42.41,43.91,22143600,0,0
2020-03-05,42.55,45.34,42.55,44.62,24148600,0,0
2020-03-06,43.0,43.85,41.2,42.16,25393700,0,0
2020-03-09,40.1,41.79,39.2,39.91,26241900,0,0
2020-03-10,41.39,42.58,40.6,41.8,21203800,0,0
2020-03-11,40.41,43.08,40.41,41.53,27069600,0,0
2020-03-12,38.85,39.79,37.37,38.26,30770700,0,0
2020-03-13,41.01,41.21,37.44,39.71,22982900,0,0
2020-03-16,36.1,38.92,32.7,35.24,25203900,0,0
2020-03-17,37.66,39.98,36.26,38.35,27822600,0,0
2020-03-18,36.0,38.35,35.55,37.7,23689500,0,0
2020-03-19,37.51,38.9,36.56,37.21,25834000,0,0
2020-03-20,38.35,39.27,37.57,37.66,21050400,0,0
2020-03-23,38.18,39.29,36.22,38.61,18926300,0,0
2020-03-24,39.91,42.31,39.91,41.01,24405700,0,0
2020-03-25,41.35,42.93,40.52,41.35,18686200,0,0
2020-03-26,41.71,43.96,40.33,42.01,20472700,0,0
2020-03-27,40.62,41.32,39.92,40.15,12299800,0,0
2020-03-30,40.87,41.18,39.51,40.39,14771100,0,0
2020-03-31,40.52,40.99,39.97,40.5,13864300,0,0
2020-04-01,39.91,42.82,39.91,40.91,21650800,0,0
2020-04-02,40.55,41.55,39.51,40.08,21452200,0,0
2020-04-03,40.08,41.03,39.26,39.89,12172500,0,0
2020-04-06,40.92,42.06,40.2,41.56,15125700,0,0
2020-04-07,42.7,43.15,41.72,41.99,16888500,0,0
2020-04-08,41.93,42.43,40.76,41.17,14262800,0,0
2020-04-09,41.97,43.15,41.51,42.16,14801300,0,0
