Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,16.1,16.46,15.84,16.35,21650200,0,0
2020-03-02,16.21,16.98,15.88,16.97,13350600,0,0
2020-03-03,16.86,17.33,15.94,16.21,22824300,0,0
2020-03-04,16.37,16.7,15.94,16.69,13860900,0,0
2020-03-05,16.03,16.2,15.78,15.98,15279300,0,0
2020-03-06,15.08,15.62,14.68,14.87,23797200,0,0
2020-03-09,13.33,13.41,12.15,12.16,15961300,0,0
2020-03-10,12.86,13.5,12.07,13.37,17303800,0,0
2020-03-11,12.88,13.01,12.09,12.25,29399900,0,0
2020-03-12,11.18,12.1,10.53,10.87,20950900,0,0
2020-03-13,11.93,12.74,11.34,12.73,17318400,0,0
2020-03-16,10.0,11.37,9.99,9.99,17925300,0,0
2020-03-17,10.28,10.33,9.32,10.24,20549200,0,0
2020-03-18,9.6,9.75,7.94,8.16,17912800,0,0
2020-03-19,7.96,9.78,7.45,9.35,13965800,0,0
2020-03-20,9.5,9.86,8.5,9.19,23725300,0,0
2020-03-23,9.05,9.27,8.32,8.56,16697600,0,0
2020-03-24,9.32,9.97,9.24,9.77,15626800,0,0
2020-03-25,10.02,10.43,9.61,9.82,20647100,0,0
2020-03-26,9.97,11.59,9.65,11.46,22494500,0,0
2020-03-27,10.72,11.69,10.7,11.2,20794800,0,0
2020-03-30,11.04,11.24,10.38,10.79,15175400,0,0
2020-03-31,10.68,10.86,10.12,10.37,15997000,0,0
2020-04-01,9.63,9.72,9.35,9.45,14533700,0,0
2020-04-02,9.41,10.02,9.15,9.48,14255200,0,0
2020-04-03,9.4,9.68,8.96,9.07,11898600,0,0
2020-04-06,9.8,10.09,9.5,9.95,13435800,0,0
2020-04-07,10.81,11.04,10.31,10.45,19699300,0,0
2020-04-08,10.69,11.46,10.57,11.33,13998100,0,0
2020-04-09,11.95,12.37,11.71,12.01,20269900,0,0
