Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,19.02,19.28,18.4,19.17,32731000,0,0
2020-03-02,19.36,20.29,19.1,20.24,22540300,0,0
2020-03-03,20.35,20.69,19.59,19.85,20242700,0,0
2020-03-04,20.16,20.38,19.98,20.23,18485700,0,0
2020-03-05,19.81,20.1,19.38,19.7,16981900,0,0
2020-03-06,19.19,19.44,18.6,19.33,23715800,0,0
2020-03-09,17.25,17.4,16.0,16.1,43807500,0,0
2020-03-10,16.7,17.24,14.95,16.04,33913900,0,0
2020-03-11,15.52,16.04,15.13,15.5,31677900,0,0
2020-03-12,14.22,14.6,13.45,13.86,35722200,0,0
2020-03-13,15.03,15.13,13.22,14.78,40427800,0,0
2020-03-16,13.12,13.88,12.65,12.73,26557400,0,0
2020-03-17,12.88,13.4,12.32,12.64,26658900,0,0
2020-03-18,11.79,11.87,9.44,9.98,46226100,0,0
2020-03-19,10.03,11.45,9.42,11.2,34340100,0,0
2020-03-20,11.84,12.44,11.15,12.35,40081000,0,0
2020-03-23,12.02,12.32,11.01,11.03,25384600,0,0
2020-03-24,12.01,12.94,11.36,12.88,20610000,0,0
2020-03-25,13.04,14.75,12.45,13.73,28456500,0,0
2020-03-26,13.94,14.85,13.76,14.48,25315900,0,0
2020-03-27,13.76,14.36,13.59,13.75,21313100,0,0
2020-03-30,13.4,13.5,12.64,13.27,24655700,0,0
2020-03-31,13.46,14.2,13.17,13.92,23995400,0,0
2020-04-01,13.05,13.28,12.5,12.73,17770600,0,0
2020-04-02,13.18,14.13,12.99,13.45,20015700,0,0
2020-04-03,13.45,13.77,12.88,13.41,26863800,0,0
2020-04-06,13.96,14.2,13.62,13.99,19274300,0,0
2020-04-07,14.65,14.77,14.02,14.2,19149400,0,0
2020-04-08,14.38,14.89,14.18,14.83,13820100,0,0
2020-04-09,15.2,15.89,14.9,15.36,17466000,0,0
