Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,53.36,53.42,51.13,53.02,40891800,0.0,0
2020-03-02,53.46,55.47,53.23,55.43,25698600,0.0,0
2020-03-03,56.27,56.99,55.16,55.57,27099200,0.0,0
2020-03-04,55.92,58.49,55.92,58.41,20526100,0.0,0
2020-03-05,57.3,57.66,55.7,56.25,17948500,0.0,0
2020-03-06,54.46,55.42,53.51,54.78,22353900,0.0,0
2020-03-09,51.6,53.11,51.03,51.41,27898300,0.0,0
2020-03-10,52.76,53.33,50.73,53.19,27457400,0.0,0
2020-03-11,51.89,52.19,50.7,51.76,22653900,0.0,0
2020-03-12,48.12,49.5,46.28,46.75,31913100,0.0,0
2020-03-13,49.51,49.56,46.61,48.47,33697200,0.41,0
2020-03-16,42.24,47.88,41.17,45.26,28682300,0.0,0
2020-03-17,45.88,47.5,45.37,47.18,32106700,0.0,0
2020-03-18,44.74,45.15,41.59,44.85,35408300,0.0,0
2020-03-19,44.36,44.66,41.04,41.83,41956900,0.0,0
2020-03-20,41.95,42.07,37.51,38.3,51513500,0.0,0
2020-03-23,38.76,38.89,36.27,37.56,44978500,0.0,0
2020-03-24,41.22,41.4,38.83,39.45,49096200,0.0,0
2020-03-25,40.63,43.45,39.91,41.61,42511700,0.0,0
2020-03-26,42.84,45.27,42.45,44.29,37821700,0.0,0
2020-03-27,43.66,44.03,42.4,42.81,23297900,0.0,0
2020-03-30,43.04,45.56,43.04,45.0,23446000,0.0,0
2020-03-31,45.07,45.51,44.06,44.25,25373900,0.0,0
2020-04-01,42.48,43.65,41.8,42.12,21936400,0.0,0
2020-04-02,42.22,44.19,41.86,43.95,17621900,0.0,0
2020-04-03,43.58,44.34,43.31,43.83,14207100,0.0,0
2020-04-06,45.39,47.01,44.69,46.67,22850000,0.0,0
2020-04-07,48.5,48.6,46.48,46.51,21279600,0.0,0
2020-04-08,46.64,48.09,46.33,47.82,18937100,0.0,0
2020-04-09,48.44,49.73,48.35,49.0,19165300,0.0,0
