Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,28.0,28.18,27.06,28.13,13514400,0,0
2020-03-02,28.44,29.69,28.28,29.68,11950800,0,0
2020-03-03,29.52,30.42,28.97,29.34,10566900,0,0
2020-03-04,29.68,30.97,29.65,30.96,9597800,0,0
2020-03-05,30.65,33.7,30.43,33.47,25208100,0,0
2020-03-06,32.72,32.99,31.51,32.04,14613600,0,0
2020-03-09,30.68,31.7,30.0,31.25,13149900,0,0
2020-03-10,31.3,32.75,31.18,32.6,16506300,0,0
2020-03-11,31.81,32.26,30.07,30.59,12935100,0,0
2020-03-12,28.6,30.38,28.37,29.12,15294000,0,0
2020-03-13,30.54,30.98,28.25,30.71,16518300,0,0
2020-03-16,29.33,33.21,29.0,31.1,24770300,0,0
2020-03-17,31.81,34.94,30.91,33.0,25167900,0,0
2020-03-18,33.65,36.84,32.51,33.91,25779400,0,0
2020-03-19,35.75,36.5,33.41,34.18,16699300,0,0
2020-03-20,34.25,34.25,31.03,31.77,21979200,0,0
2020-03-23,31.78,32.72,30.77,31.08,13199900,0,0
2020-03-24,31.5,31.68,29.42,30.15,13695000,0,0
2020-03-25,29.99,30.19,27.82,27.94,20521000,0,0
2020-03-26,28.0,29.18,27.33,29.0,18238900,0,0
2020-03-27,29.29,29.9,28.55,29.13,14993000,0,0
2020-03-30,30.0,30.36,29.12,29.65,12972800,0,0
2020-03-31,29.58,30.26,29.1,30.12,17225200,0,0
2020-04-01,30.3,31.78,29.83,30.5,17162600,0,0
2020-04-02,30.23,31.99,29.85,31.6,18951500,0,0
2020-04-03,31.61,32.84,31.6,32.29,14538900,0,0
2020-04-06,32.3,32.76,31.28,32.63,15549200,0,0
2020-04-07,31.46,32.5,30.57,31.86,16983100,0,0
2020-04-08,31.71,31.95,30.72,31.02,18720700,0,0
2020-04-09,30.33,31.3,30.01,31.06,17327700,0,0
