Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-27,2.7335,2.752,2.715,2.7335,4593500,0.0,0
2020-01-28,2.752,2.7706,2.7428,2.7613,3161300,0.0,0
2020-01-29,2.752,2.7613,2.7428,2.7428,2931500,0.0,0
2020-01-30,2.7613,2.8169,2.752,2.8076,5686500,0.0,0
2020-01-31,2.7428,2.7613,2.7242,2.7428,5002700,0.0,0
2020-02-03,2.7057,2.7242,2.6965,2.7057,3852500,0.0,0
2020-02-04,2.7428,2.7798,2.7428,2.7613,4394300,0.0,0
2020-02-05,2.7613,2.7613,2.7242,2.752,6317100,0.0,0
2020-02-06,2.7428,2.7428,2.7057,2.715,4568700,0.0,0
2020-02-07,2.6965,2.7242,2.6872,2.6965,4664500,0.0,0
2020-02-10,2.7057,2.7242,2.6965,2.715,2938500,0.0,0
2020-02-11,2.6965,2.7242,2.6872,2.6965,5001500,0.0,0
2020-02-12,2.7428,2.7613,2.7335,2.752,4467600,0.0,0
2020-02-13,2.7613,2.7984,2.7613,2.7891,4208900,0.0,0
2020-02-14,2.752,2.752,2.6965,2.7057,6025200,0.0,0
2020-02-18,2.7057,2.7057,2.6779,2.6872,6162700,0.0,0
2020-02-19,2.6687,2.6779,2.6501,2.6594,4291200,0.0,0
2020-02-20,2.715,2.7242,2.6409,2.6687,22383100,0.0,0
2020-02-21,2.6501,2.6501,2.6131,2.6223,8693600,0.0,0
2020-02-24,2.4833,2.5389,2.4741,2.4926,13272300,0.0,0
2020-02-25,2.5111,2.5111,2.4277,2.4463,11410200,0.0,0
2020-02-26,2.4555,2.4648,2.3999,2.4277,12019400,0.0,0
2020-02-27,2.3721,2.4092,2.3258,2.3258,12184600,0.0,0
2020-02-28,2.3165,2.3814,2.2887,2.3629,16080100,0.0,0
2020-03-02,2.3351,2.3629,2.2887,2.3536,10375300,0.0,0
2020-03-03,2.3629,2.3721,2.2053,2.2053,31989500,0.0,0
2020-03-04,2.2887,2.298,2.2239,2.2887,28459900,0.0,0
2020-03-05,2.1961,2.2239,2.159,2.1683,11697700,0.0,0
2020-03-06,2.1683,2.2146,2.1127,2.1312,17258700,0.0,0
2020-03-09,1.9644,2.02,1.8996,1.9088,13311000,0.0,0
2020-03-10,2.0756,2.0942,1.9737,2.02,26556600,0.0,0
2020-03-11,2.02,2.0386,1.8996,1.9274,16039400,0.0,0
2020-03-12,1.7606,1.8069,1.6216,1.6957,23184000,0.0,0
2020-03-13,1.7791,1.7976,1.6772,1.7884,22051000,0.0,0
2020-03-16,1.4455,1.5938,1.4455,1.5104,27227000,0.0,0
2020-03-17,1.4826,1.5474,1.4363,1.5011,19787300,0.0,0
2020-03-18,1.4085,1.4641,1.3436,1.3807,29110100,0.0,0
2020-03-19,1.3065,1.427,1.288,1.3621,33403700,0.0,0
2020-03-20,1.3621,1.3807,1.288,1.288,16029000,0.0,0
2020-03-23,1.2973,1.3343,1.2324,1.2417,14362100,0.0,0
2020-03-24,1.3807,1.427,1.3436,1.4085,21661800,0.0,0
2020-03-25,1.5104,1.5938,1.4363,1.5474,18675600,0.0,0
2020-03-26,1.5845,1.6679,1.5752,1.6494,14296600,0.0,0
2020-03-27,1.5382,1.5845,1.4826,1.5474,7662800,0.0,0
2020-03-30,1.5011,1.5104,1.4641,1.5011,12641100,0.0,0
2020-03-31,1.4548,1.4641,1.3714,1.3992,12608600,0.0,0
2020-04-01,1.3251,1.3436,1.1953,1.2139,42810800,0.0,0
2020-04-02,1.2417,1.3158,1.2417,1.2695,18070600,0.0,0
2020-04-03,1.2417,1.2417,1.1861,1.1953,20605100,0.0,0
2020-04-06,1.288,1.3343,1.2787,1.3158,15562000,0.0,0
2020-04-07,1.4177,1.427,1.3436,1.3436,18733700,0.0,0
2020-04-08,1.4085,1.427,1.3714,1.3992,20654500,0.0,0
2020-04-09,1.4919,1.5196,1.4641,1.4826,16722400,0.0,0
2020-04-13,1.5011,1.5104,1.4177,1.4548,7304000,0.0,0
2020-04-14,1.4826,1.4826,1.427,1.4548,12735400,0.0,0
2020-04-15,1.3714,1.3714,1.3251,1.3251,10368100,0.0,0
2020-04-16,1.43,1.44,1.4,1.41,11055200,0.10494,0
2020-04-17,1.46,1.49,1.44,1.48,8460500,0.0,0
2020-04-20,1.44,1.47,1.41,1.42,15216800,0.0,0
2020-04-21,1.4,1.42,1.37,1.39,11255100,0.0,0
2020-04-22,1.4,1.43,1.4,1.41,9829400,0.0,0
2020-04-23,1.41,1.46,1.41,1.44,9137400,0.0,0
2020-04-24,1.43,1.45,1.41,1.44,7174800,0.0,0
