Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-11,4.22,4.49,4.0,4.09,69880200,0,0
2020-03-12,3.78,4.2,3.65,3.98,51908800,0,0
2020-03-13,4.36,4.53,3.71,4.53,46499500,0,0
2020-03-16,3.81,4.51,3.8,4.0,40301300,0,0
2020-03-17,4.15,4.17,3.55,3.62,43146500,0,0
2020-03-18,3.5,3.66,3.2,3.45,37555200,0,0
2020-03-19,3.5,3.93,3.41,3.83,38897500,0,0
2020-03-20,4.0,4.04,3.42,3.56,48008100,0,0
2020-03-23,3.56,3.6,3.31,3.35,32313300,0,0
2020-03-24,3.69,3.71,3.46,3.61,45463000,0,0
2020-03-25,3.8,3.87,3.41,3.58,45456400,0,0
2020-03-26,3.73,4.06,3.6,3.88,49996700,0,0
2020-03-27,3.72,3.77,3.49,3.52,44091900,0,0
2020-03-30,3.49,3.5,3.15,3.24,51862500,0,0
2020-03-31,3.46,3.52,3.25,3.29,45654200,0,0
2020-04-01,3.22,3.29,3.02,3.12,52822600,0,0
2020-04-02,3.26,3.74,3.15,3.47,86465000,0,0
2020-04-03,3.73,3.8,3.33,3.65,69728200,0,0
2020-04-06,3.69,3.74,3.51,3.62,63813600,0,0
2020-04-07,3.89,4.15,3.6,3.68,76558200,0,0
2020-04-08,3.91,3.96,3.66,3.95,60575900,0,0
2020-04-09,4.35,4.55,3.82,4.12,100353200,0,0
