Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,11.97,12.19,11.84,12.03,7537100,0,0
2020-03-02,12.05,12.76,12.01,12.75,5167500,0,0
2020-03-03,12.73,13.02,12.57,12.81,7410400,0,0
2020-03-04,12.93,13.13,12.81,13.04,3249100,0,0
2020-03-05,12.8,13.07,12.61,12.78,3808000,0,0
2020-03-06,12.39,12.82,12.2,12.42,3595000,0,0
2020-03-09,11.6,11.82,10.85,11.31,3717000,0,0
2020-03-10,11.63,11.77,11.01,11.27,4609500,0,0
2020-03-11,10.99,11.15,10.18,10.43,6964000,0,0
2020-03-12,9.72,10.21,9.3,9.67,8386000,0,0
2020-03-13,10.14,10.36,9.32,9.69,7190600,0,0
2020-03-16,8.0,8.95,7.72,7.82,6155200,0,0
2020-03-17,7.92,8.03,7.18,7.82,10865900,0,0
2020-03-18,7.36,7.39,4.34,5.87,9703700,0,0
2020-03-19,5.75,8.17,5.15,7.35,11938800,0,0
2020-03-20,7.55,7.73,6.58,6.76,11194500,0,0
2020-03-23,6.58,6.7,5.06,5.31,6564200,0,0
2020-03-24,5.71,6.17,5.66,5.96,8035200,0,0
2020-03-25,6.01,6.76,5.78,6.56,9337200,0,0
2020-03-26,6.7,8.46,6.61,8.26,9781100,0,0
2020-03-27,7.94,8.19,7.66,7.97,7229900,0,0
2020-03-30,7.57,7.9,6.54,6.97,5981400,0,0
2020-03-31,6.94,7.1,6.22,6.35,6480700,0,0
2020-04-01,6.08,6.1,5.39,5.6,7841500,0,0
2020-04-02,5.6,6.01,5.51,5.8,5623200,0,0
2020-04-03,5.72,6.0,4.96,4.97,11117900,0,0
2020-04-06,5.21,5.7,5.21,5.69,7609800,0,0
2020-04-07,6.17,6.55,5.93,6.46,13527700,0,0
2020-04-08,6.58,7.19,6.49,6.8,9656300,0,0
2020-04-09,7.25,7.5,6.85,7.44,12559700,0,0
