Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,48.65,52.92,48.39,52.56,40288600,0,0
2020-03-02,53.2,54.69,52.1,54.59,33272700,0,0
2020-03-03,54.6,55.4,51.1,51.8,36893200,0,0
2020-03-04,53.02,55.38,52.21,55.29,28222000,0,0
2020-03-05,53.45,55.61,53.34,53.72,26223000,0,0
2020-03-06,52.2,53.19,50.0,51.47,30313700,0,0
2020-03-09,45.48,48.6,44.92,45.97,31260800,0,0
2020-03-10,48.15,48.26,45.29,47.86,31652900,0,0
2020-03-11,46.2,46.32,42.85,43.72,38483800,0,0
2020-03-12,39.4,42.54,38.0,38.81,40117200,0,0
2020-03-13,41.57,43.02,38.35,42.99,35264800,0,0
2020-03-16,37.35,39.14,34.45,34.47,36879100,0,0
2020-03-17,35.49,39.13,34.02,37.38,34869000,0,0
2020-03-18,34.26,36.56,31.13,34.69,36519000,0,0
2020-03-19,34.66,37.3,33.65,36.29,31015200,0,0
2020-03-20,37.77,38.59,35.84,36.11,37667400,0,0
2020-03-23,36.99,39.47,35.69,38.25,45286000,0,0
2020-03-24,41.82,44.42,41.14,43.27,45588000,0,0
2020-03-25,43.91,44.88,40.03,42.5,54091000,0,0
2020-03-26,44.9,45.75,43.33,44.79,62450700,0,0
2020-03-27,43.25,45.28,42.31,43.48,39791500,0,0
2020-03-30,44.17,45.57,43.15,44.52,33763900,0,0
2020-03-31,44.4,45.17,41.91,42.06,36723700,0,0
2020-04-01,40.55,42.3,39.33,39.89,37452800,0,0
2020-04-02,39.79,41.59,39.52,41.09,31457700,0,0
2020-04-03,40.97,41.86,40.55,41.22,28522400,0,0
2020-04-06,43.35,46.69,43.34,46.37,37899100,0,0
2020-04-07,48.09,48.37,46.04,46.54,34646400,0,0
2020-04-08,47.08,48.69,46.8,48.29,27694400,0,0
2020-04-09,49.3,49.81,45.35,46.13,39799400,0,0
