Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,3.96,4.14,3.87,4.13,63782000,0,0
2020-03-02,4.15,4.19,3.9,4.11,56063200,0,0
2020-03-03,4.08,4.21,3.95,4.06,47644500,0,0
2020-03-04,4.03,4.07,3.77,3.87,49465800,0,0
2020-03-05,3.78,3.89,3.68,3.72,72697800,0,0
2020-03-06,3.62,3.66,3.42,3.55,61238100,0,0
2020-03-09,3.01,3.54,2.99,3.29,55305300,0,0
2020-03-10,3.49,3.54,3.29,3.5,34928400,0,0
2020-03-11,3.4,3.53,3.26,3.32,31099400,0,0
2020-03-12,3.06,3.23,2.98,3.13,52438300,0,0
2020-03-13,3.28,3.33,2.99,3.11,41770400,0,0
2020-03-16,2.87,3.11,2.75,2.94,41266200,0,0
2020-03-17,2.97,3.12,2.79,2.9,34862200,0,0
2020-03-18,2.4,2.58,2.11,2.43,94431900,0,0
2020-03-19,2.3,2.55,2.23,2.38,35499000,0,0
2020-03-20,2.49,2.64,2.35,2.4,50528400,0,0
2020-03-23,2.34,2.37,2.15,2.37,47435200,0,0
2020-03-24,2.55,2.75,2.4,2.6,64750100,0,0
2020-03-25,2.72,2.99,2.6,2.76,56588300,0,0
2020-03-26,2.81,3.07,2.78,2.93,43579400,0,0
2020-03-27,2.85,2.89,2.76,2.84,25132000,0,0
2020-03-30,2.81,2.83,2.7,2.71,20115300,0,0
2020-03-31,2.83,2.88,2.68,2.78,30261400,0,0
2020-04-01,2.63,2.76,2.6,2.65,17153800,0,0
2020-04-02,2.51,2.59,2.22,2.39,58942700,0,0
2020-04-03,2.45,2.49,2.33,2.4,19519500,0,0
2020-04-06,2.48,2.55,2.4,2.47,34866700,0,0
2020-04-07,2.81,2.81,2.65,2.7,46149600,0,0
2020-04-08,2.76,2.8,2.71,2.74,18312900,0,0
2020-04-09,2.82,2.82,2.63,2.67,32671400,0,0
