Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-11,7.99,8.01,7.55,7.65,27756900,0.0,0
2020-03-12,6.7,6.86,6.26,6.37,35591500,0.0,0
2020-03-13,6.95,6.98,6.19,6.62,30260600,0.0,0
2020-03-16,6.37,7.56,5.94,6.35,38342800,0.0,0
2020-03-17,6.68,6.74,6.17,6.39,36414000,0.0,0
2020-03-18,6.0,6.01,3.37,5.1,63215300,0.0,0
2020-03-19,4.93,5.42,4.49,5.04,43353500,0.0,0
2020-03-20,5.24,5.62,5.02,5.09,30837300,0.0,0
2020-03-23,5.51,5.64,4.36,4.56,49937700,0.0,0
2020-03-24,4.94,5.23,4.51,4.84,37151300,0.0,0
2020-03-25,5.27,6.18,5.08,5.71,43552300,0.0,0
2020-03-26,6.14,6.59,5.85,6.08,42537800,0.0,0
2020-03-27,5.89,6.11,5.74,5.88,31805200,0.0,0
2020-03-30,5.87,5.95,5.44,5.67,23800700,0.25,0
2020-03-31,5.65,5.69,5.0,5.07,32244200,0.0,0
2020-04-01,4.77,4.88,4.33,4.37,27532400,0.0,0
2020-04-02,4.37,4.88,4.33,4.56,25798500,0.0,0
2020-04-03,4.56,4.61,3.83,4.02,39954500,0.0,0
2020-04-06,4.4,4.49,4.15,4.25,24432800,0.0,0
2020-04-07,4.67,4.89,4.4,4.45,42661100,0.0,0
2020-04-08,5.58,5.8,5.29,5.75,36826000,0.0,0
2020-04-09,6.33,6.74,5.83,6.07,47857800,0.0,0
