Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,242.46,272.46,241.79,270.07,28366900,0,0
2020-03-02,276.9,277.59,261.0,276.43,22268600,0,0
2020-03-03,278.67,281.07,262.46,265.89,16319800,0,0
2020-03-04,270.2,284.89,267.2,284.51,14935200,0,0
2020-03-05,276.5,283.2,271.5,273.29,13508200,0,0
2020-03-06,266.08,268.39,258.0,266.04,12885300,0,0
2020-03-09,239.9,259.4,238.18,245.44,15354000,0,0
2020-03-10,256.54,261.08,245.99,261.08,14516200,0,0
2020-03-11,255.46,256.6,242.57,246.47,12499100,0,0
2020-03-12,225.46,236.12,215.8,216.31,20413500,0,0
2020-03-13,230.5,241.02,219.61,240.84,15870900,0,0
2020-03-16,212.41,226.1,194.0,196.4,18174300,0,0
2020-03-17,200.91,220.86,191.0,217.27,20840800,0,0
2020-03-18,200.1,209.94,180.68,202.82,21856700,0,0
2020-03-19,201.96,216.73,193.39,212.97,19137800,0,0
2020-03-20,219.0,230.32,205.13,205.75,20115900,0,0
2020-03-23,205.71,216.48,198.52,212.69,16096900,0,0
2020-03-24,229.0,252.66,228.05,249.18,27541100,0,0
2020-03-25,253.8,261.82,243.66,245.62,19835800,0,0
2020-03-26,253.94,262.22,250.0,257.24,17402700,0,0
2020-03-27,250.0,263.12,248.68,252.73,15970700,0,0
2020-03-30,255.36,265.96,253.59,265.59,15056300,0,0
2020-03-31,267.2,275.4,257.75,263.6,23749000,0,0
2020-04-01,255.65,261.53,241.28,243.07,16422800,0,0
2020-04-02,244.24,256.0,242.31,255.47,16894100,0,0
2020-04-03,253.96,255.63,238.39,243.91,16580300,0,0
2020-04-06,255.24,269.88,252.93,268.4,18197100,0,0
2020-04-07,277.3,278.25,257.3,259.03,19613000,0,0
2020-04-08,263.41,267.95,260.6,266.95,13561100,0,0
2020-04-09,272.0,272.92,260.42,262.95,13139100,0,0
