Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,49.01,49.65,47.67,49.23,24427100,0.0,0
2020-03-02,49.49,50.66,48.44,50.66,17328500,0.0,0
2020-03-03,50.38,51.59,48.02,48.62,21830500,0.0,0
2020-03-04,49.61,50.35,48.6,50.3,14813700,0.0,0
2020-03-05,49.0,49.45,47.52,47.77,15843000,0.0,0
2020-03-06,46.35,48.07,46.24,47.15,24581400,0.0,0
2020-03-09,44.74,47.35,44.45,45.79,25949300,0.0,0
2020-03-10,47.23,48.68,45.94,48.35,27067700,0.0,0
2020-03-11,46.59,47.26,44.06,44.51,24139200,0.0,0
2020-03-12,40.93,43.19,39.52,39.61,24123800,0.0,0
2020-03-13,44.24,47.76,43.21,47.7,28339400,0.0,0
2020-03-16,42.31,47.35,41.06,42.52,27493700,0.0,0
2020-03-17,43.41,47.48,41.46,46.64,25588900,0.0,0
2020-03-18,43.46,47.57,42.36,47.05,29557000,0.0,0
2020-03-19,46.25,47.74,44.66,44.86,20159100,0.0,0
2020-03-20,44.81,46.48,44.3,45.43,26340800,0.0,0
2020-03-23,44.79,46.27,43.68,43.98,23063700,0.0,0
2020-03-24,45.12,47.78,45.09,47.61,19323700,0.0,0
2020-03-25,46.88,48.51,45.26,45.72,25625800,0.0,0
2020-03-26,46.16,50.5,45.97,50.24,22417900,0.0,0
2020-03-27,48.86,51.36,48.33,49.59,20025300,0.0,0
2020-03-30,50.16,51.35,49.36,50.12,20611900,0.0,0
2020-03-31,50.88,50.94,47.77,48.1,15802000,0.0,0
2020-04-01,46.33,48.76,45.82,48.48,17918200,0.0,0
2020-04-02,47.95,49.65,47.87,49.56,16434400,0.0,0
2020-04-03,49.07,49.81,48.72,49.17,13362500,0.0,0
2020-04-06,50.16,51.63,50.11,51.25,13845800,0.0,0
2020-04-07,51.9,52.08,50.47,50.52,14063000,0.0,0
2020-04-08,50.98,52.68,50.88,52.13,15710700,0.24,0
2020-04-09,52.24,53.62,52.03,53.18,15521200,0.0,0
