Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,30.55,31.82,28.77,31.78,24190100,0.0,0
2020-03-02,32.59,32.67,30.77,31.98,17223700,0.0,0
2020-03-03,32.08,33.61,31.36,32.02,19991600,0.0,0
2020-03-04,32.27,32.27,30.94,31.96,14006600,0.0,0
2020-03-05,31.54,31.8,30.18,30.55,19218000,0.0,0
2020-03-06,29.27,29.32,25.5,26.07,38969100,0.0,0
2020-03-09,15.58,19.19,12.04,12.51,104930300,0.79,0
2020-03-10,15.4,15.5,12.58,14.34,110525300,0.0,0
2020-03-11,13.12,13.4,11.7,11.8,70436000,0.0,0
2020-03-12,10.23,14.84,9.44,11.89,73141800,0.0,0
2020-03-13,13.31,14.56,11.59,14.26,64910400,0.0,0
2020-03-16,11.4,13.68,11.2,12.02,37309700,0.0,0
2020-03-17,12.38,12.81,11.05,11.34,34731500,0.0,0
2020-03-18,10.45,10.84,9.0,10.53,41257200,0.0,0
2020-03-19,10.41,10.98,9.4,10.83,38092500,0.0,0
2020-03-20,11.15,11.18,9.55,10.23,50833300,0.0,0
2020-03-23,10.25,10.29,9.47,9.69,36784000,0.0,0
2020-03-24,10.4,10.77,9.7,10.72,42020600,0.0,0
2020-03-25,11.25,12.64,10.22,12.0,55409600,0.0,0
2020-03-26,12.05,15.29,12.0,12.83,70253700,0.0,0
2020-03-27,12.04,12.38,11.49,11.61,34675600,0.0,0
2020-03-30,11.32,11.45,10.2,11.01,44717600,0.0,0
2020-03-31,11.52,12.08,11.11,11.58,35568400,0.0,0
2020-04-01,11.04,11.17,10.12,10.74,39837200,0.0,0
2020-04-02,11.48,13.91,11.2,12.77,79141600,0.0,0
2020-04-03,13.83,14.2,11.51,13.0,92062300,0.0,0
2020-04-06,12.6,13.5,12.43,13.44,52068100,0.0,0
2020-04-07,14.18,15.2,13.62,13.84,54728600,0.0,0
2020-04-08,14.2,15.68,14.05,15.56,48988600,0.0,0
2020-04-09,16.7,18.27,14.27,15.36,110464100,0.0,0
