Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,13.23,13.68,12.76,13.67,9530700,0,0
2020-03-02,13.83,14.44,13.33,14.28,8069100,0,0
2020-03-03,14.34,14.71,13.59,13.81,6152600,0,0
2020-03-04,14.04,14.11,13.61,13.74,5460500,0,0
2020-03-05,13.52,13.52,12.92,13.1,6111400,0,0
2020-03-06,12.82,12.87,11.74,11.99,11016800,0,0
2020-03-09,9.38,9.42,7.53,7.85,17825200,0,0
2020-03-10,9.1,9.29,6.85,8.82,12442600,0,0
2020-03-11,8.33,9.0,8.14,8.46,8126100,0,0
2020-03-12,7.48,7.57,6.3,6.36,9899400,0,0
2020-03-13,7.15,7.4,6.3,6.7,8872800,0,0
2020-03-16,5.65,5.95,4.85,5.43,9546000,0,0
2020-03-17,5.62,5.65,4.73,4.84,12658300,0,0
2020-03-18,4.51,4.51,3.0,3.29,16481300,0,0
2020-03-19,3.45,5.08,3.28,4.58,16464200,0,0
2020-03-20,5.2,6.1,4.76,5.67,24882700,0,0
2020-03-23,5.75,5.75,4.5,4.63,11592700,0,0
2020-03-24,5.02,5.39,4.96,5.26,11291700,0,0
2020-03-25,5.45,6.15,5.03,5.87,11696900,0,0
2020-03-26,5.9,6.48,5.72,5.93,9572100,0,0
2020-03-27,5.8,5.86,5.35,5.53,9540300,0,0
2020-03-30,5.4,5.4,4.53,5.0,10475900,0,0
2020-03-31,5.24,5.41,4.8,5.28,15161700,0,0
2020-04-01,4.9,5.23,4.75,5.1,6627900,0,0
2020-04-02,5.36,6.19,5.06,5.2,9333100,0,0
2020-04-03,5.55,5.55,4.61,5.19,7848800,0,0
2020-04-06,5.35,5.8,5.21,5.23,6967100,0,0
2020-04-07,5.67,5.86,5.09,5.15,18855400,0,0
2020-04-08,5.33,5.54,5.19,5.43,8611500,0,0
2020-04-09,5.62,6.41,5.53,5.7,13434700,0,0
