Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,11.56,12.11,11.51,12.1,46960400,0,0
2020-03-02,12.2,12.57,12.02,12.49,29931200,0,0
2020-03-03,12.51,12.91,12.0,12.16,37360900,0,0
2020-03-04,12.45,12.45,12.1,12.33,23901800,0,0
2020-03-05,12.01,12.05,11.31,11.74,42527900,0,0
2020-03-06,10.7,10.87,10.27,10.52,52078200,0,0
2020-03-09,7.55,8.26,7.04,7.26,95745000,0,0
2020-03-10,8.5,8.57,7.35,8.01,54755700,0,0
2020-03-11,7.52,7.77,6.64,6.85,55715500,0,0
2020-03-12,5.75,5.89,4.83,5.45,86571700,0,0
2020-03-13,6.69,6.74,5.57,6.58,59809100,0,0
2020-03-16,5.4,5.96,5.13,5.25,35275300,0,0
2020-03-17,5.41,5.66,5.14,5.4,51896200,0,0
2020-03-18,4.56,4.82,4.01,4.31,49017000,0,0
2020-03-19,4.4,5.12,4.1,5.06,56339600,0,0
2020-03-20,5.34,5.39,4.72,4.85,38227800,0,0
2020-03-23,4.61,4.89,4.45,4.46,35837600,0,0
2020-03-24,5.06,5.48,4.92,5.43,40989000,0,0
2020-03-25,5.42,6.05,5.21,5.8,48862700,0,0
2020-03-26,5.97,6.16,5.57,5.81,41292300,0,0
2020-03-27,5.35,5.37,5.16,5.19,35197200,0,0
2020-03-30,5.15,5.3,4.88,5.22,25862600,0,0
2020-03-31,5.32,5.73,5.32,5.5,37015700,0,0
2020-04-01,5.18,5.53,5.14,5.41,26865900,0,0
2020-04-02,5.81,6.42,5.67,5.81,60850400,0,0
2020-04-03,6.09,6.16,5.58,5.76,37905400,0,0
2020-04-06,5.95,6.18,5.86,6.14,38784400,0,0
2020-04-07,6.66,6.7,6.31,6.32,41449700,0,0
2020-04-08,6.4,6.94,6.4,6.81,31724500,0,0
2020-04-09,7.09,7.46,6.58,6.72,53332400,0,0
