Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,12.31,13.37,12.12,13.34,15906700,0.0,0
2020-03-02,13.58,13.61,12.77,13.12,8271500,0.0,0
2020-03-03,13.17,13.25,12.53,12.69,7193100,0.0,0
2020-03-04,12.93,13.03,12.54,12.96,5772300,0.0,0
2020-03-05,12.64,12.82,12.25,12.6,6950800,0.0,0
2020-03-06,11.97,12.18,10.31,10.52,15239400,0.0,0
2020-03-09,6.25,7.54,4.77,6.4,29600400,0.05,0
2020-03-10,7.2,7.38,6.21,7.27,22327300,0.0,0
2020-03-11,6.88,7.16,6.46,6.79,13935500,0.0,0
2020-03-12,6.14,6.41,5.43,5.73,16484600,0.0,0
2020-03-13,6.24,6.58,5.5,6.55,15760100,0.0,0
2020-03-16,5.25,6.38,5.24,5.31,13805700,0.0,0
2020-03-17,5.33,5.33,4.56,4.88,16177600,0.0,0
2020-03-18,4.56,4.74,3.92,4.12,16067900,0.0,0
2020-03-19,4.19,5.11,4.14,5.08,10056900,0.0,0
2020-03-20,5.34,5.69,4.97,5.13,21345800,0.0,0
2020-03-23,5.1,5.22,4.74,5.15,8094100,0.0,0
2020-03-24,5.65,5.78,5.07,5.74,14030500,0.0,0
2020-03-25,5.91,6.21,5.4,5.71,7488000,0.0,0
2020-03-26,5.76,5.89,5.51,5.74,8630700,0.0,0
2020-03-27,5.5,5.56,5.2,5.23,12746100,0.0,0
2020-03-30,4.99,5.06,4.56,4.81,15647100,0.0,0
2020-03-31,5.13,5.8,5.05,5.73,14819000,0.0,0
2020-04-01,5.51,5.83,5.43,5.55,17360000,0.0,0
2020-04-02,5.97,7.78,5.93,6.91,25332000,0.0,0
2020-04-03,7.55,7.71,6.5,7.01,13854400,0.0,0
2020-04-06,7.0,7.08,6.47,6.88,11584600,0.0,0
2020-04-07,7.45,7.89,6.82,6.82,16771200,0.0,0
2020-04-08,7.04,7.55,6.9,7.51,14476400,0.0,0
2020-04-09,8.12,8.35,6.83,7.32,17394800,0.0,0
