Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,33.49,33.94,32.53,33.42,62686900,0,0
2020-03-02,33.91,34.95,33.45,34.88,39880900,0,0
2020-03-03,35.18,35.78,33.86,34.3,43808800,0,0
2020-03-04,35.1,36.46,34.95,36.4,36728800,0,0
2020-03-05,35.65,36.18,35.16,35.46,33298200,0,0
2020-03-06,34.7,35.17,34.12,35.02,38834000,0,0
2020-03-09,33.46,34.69,33.16,33.76,40971400,0,0
2020-03-10,34.57,34.66,33.01,34.59,38470900,0,0
2020-03-11,33.76,33.88,31.66,32.17,62002100,0,0
2020-03-12,30.48,32.0,30.0,30.02,59517500,0,0
2020-03-13,31.27,32.88,30.23,32.71,57450700,0,0
2020-03-16,29.94,32.28,29.65,30.18,48382400,0,0
2020-03-17,31.64,32.65,30.59,32.16,51442700,0,0
2020-03-18,30.77,32.61,30.31,32.36,41636600,0,0
2020-03-19,32.22,32.25,30.01,30.42,56756100,0,0
2020-03-20,30.28,30.67,28.91,29.01,49799800,0,0
2020-03-23,28.76,29.58,27.88,28.49,50145200,0,0
2020-03-24,29.51,30.05,28.9,29.7,42188600,0,0
2020-03-25,29.5,30.72,29.0,29.75,42316200,0,0
2020-03-26,29.89,31.99,29.88,31.75,41053100,0,0
2020-03-27,30.8,31.74,30.66,30.9,36328600,0,0
2020-03-30,31.05,32.85,31.05,32.67,28409400,0,0
2020-03-31,32.4,33.0,32.24,32.64,27956500,0,0
2020-04-01,31.92,32.28,31.53,31.75,25341200,0,0
2020-04-02,31.9,33.0,31.75,32.87,25794000,0,0
2020-04-03,32.63,33.89,32.63,33.64,31155000,0,0
2020-04-06,33.92,34.9,33.78,34.57,38428100,0,0
2020-04-07,35.0,35.17,33.59,33.61,22985100,0,0
2020-04-08,33.99,34.8,33.44,34.6,24216300,0,0
2020-04-09,35.03,35.77,34.85,35.39,29077900,0,0
