Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,109.46,113.23,106.67,113.23,22788600,0,0
2020-03-02,113.19,119.79,112.55,119.56,12399800,0,0
2020-03-03,119.73,121.84,117.14,118.17,12510900,0,0
2020-03-04,119.88,124.69,119.6,124.5,9459300,0,0
2020-03-05,121.3,122.9,120.28,121.63,9363500,0,0
2020-03-06,118.03,122.61,117.55,121.66,9817400,0,0
2020-03-09,115.27,120.03,115.12,116.06,13116500,0,0
2020-03-10,118.96,120.82,114.44,120.55,11419100,0,0
2020-03-11,117.6,118.44,110.68,111.59,16456000,0,0
2020-03-12,103.0,111.58,101.0,101.84,20988000,0,0
2020-03-13,106.5,114.63,105.41,114.07,17378700,0,0
2020-03-16,101.75,115.95,101.0,108.5,17367400,0,0
2020-03-17,111.45,119.7,110.77,118.24,19451400,0,0
2020-03-18,113.02,121.5,112.09,117.45,23139200,0,0
2020-03-19,116.61,118.0,109.79,110.83,16428100,0,0
2020-03-20,109.19,109.7,101.59,102.43,19922900,0,0
2020-03-23,100.19,103.75,94.34,97.7,17776800,0,0
2020-03-24,101.23,104.0,96.07,103.27,14625500,0,0
2020-03-25,100.51,104.7,98.6,100.92,13789100,0,0
2020-03-26,103.88,108.31,102.53,107.38,15796000,0,0
2020-03-27,106.49,114.29,106.49,110.17,16073100,0,0
2020-03-30,113.9,115.79,110.2,115.0,14571600,0,0
2020-03-31,113.5,114.29,108.95,110.0,21691000,0,0
2020-04-01,107.95,112.18,107.0,109.33,11095800,0,0
2020-04-02,107.69,114.99,107.5,114.4,9168800,0,0
2020-04-03,113.74,115.9,113.01,115.08,7768700,0,0
2020-04-06,117.0,119.0,114.58,117.81,16848400,0,0
2020-04-07,116.71,120.06,112.5,112.77,14438400,0,0
2020-04-08,114.39,117.3,111.86,115.1,12564500,0,0
2020-04-09,115.26,118.66,114.2,114.66,12747300,0,0
