Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,13.32,13.71,13.03,13.38,28630100,0.0,0
2020-03-02,13.48,14.38,13.26,14.36,23705400,0.0,0
2020-03-03,14.3,14.61,13.82,13.94,32399400,0.0,0
2020-03-04,14.13,14.46,13.9,14.4,20535200,0.0,0
2020-03-05,13.83,14.1,13.69,13.81,24354300,0.155,0
2020-03-06,13.07,13.54,12.73,12.98,21487800,0.0,0
2020-03-09,11.45,11.7,10.25,10.47,23502700,0.0,0
2020-03-10,11.04,11.51,10.51,11.47,17013400,0.0,0
2020-03-11,11.05,11.25,10.44,10.69,25918700,0.0,0
2020-03-12,9.78,10.38,9.2,9.46,18790100,0.0,0
2020-03-13,10.38,10.58,9.58,9.98,28002000,0.0,0
2020-03-16,8.52,8.77,8.13,8.31,20294300,0.0,0
2020-03-17,8.47,9.27,7.92,8.88,23497600,0.0,0
2020-03-18,8.28,8.7,7.29,7.36,18007800,0.0,0
2020-03-19,7.26,8.46,6.94,8.28,15534000,0.0,0
2020-03-20,8.4,8.76,7.87,8.26,23045600,0.0,0
2020-03-23,8.13,8.35,7.6,7.72,17459500,0.0,0
2020-03-24,8.31,9.05,8.18,8.85,15558100,0.0,0
2020-03-25,9.05,9.2,8.53,8.73,18087500,0.0,0
2020-03-26,8.85,9.97,8.82,9.85,17779900,0.0,0
2020-03-27,9.24,10.1,9.22,9.67,12732600,0.0,0
2020-03-30,9.54,9.71,9.14,9.5,11634200,0.0,0
2020-03-31,9.37,9.45,8.85,8.97,15360200,0.0,0
2020-04-01,8.36,8.64,8.06,8.3,14045200,0.0,0
2020-04-02,8.17,8.74,8.03,8.39,14036000,0.0,0
2020-04-03,8.36,8.44,7.9,8.07,14772800,0.0,0
2020-04-06,8.61,8.98,8.4,8.88,15990700,0.0,0
2020-04-07,9.67,9.93,9.32,9.39,14330800,0.0,0
2020-04-08,9.56,10.21,9.53,10.11,10880200,0.0,0
2020-04-09,10.5,11.22,10.46,11.01,16772700,0.0,0
