Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,6.3,6.43,6.2,6.34,55314000,0,0
2020-03-02,6.28,6.55,6.26,6.55,37938700,0,0
2020-03-03,6.48,6.7,6.42,6.48,37680000,0,0
2020-03-04,6.57,6.66,6.56,6.65,22911300,0,0
2020-03-05,6.48,6.68,6.46,6.64,38219700,0,0
2020-03-06,6.36,6.55,6.33,6.44,33961700,0,0
2020-03-09,6.16,6.27,5.97,6.04,41161800,0,0
2020-03-10,6.16,6.34,5.96,6.33,41116900,0,0
2020-03-11,6.12,6.26,5.96,6.05,36447900,0,0
2020-03-12,5.66,5.95,5.28,5.56,40210000,0,0
2020-03-13,5.78,5.9,5.44,5.9,41060800,0,0
2020-03-16,5.24,5.73,4.98,5.08,47077000,0,0
2020-03-17,5.15,5.48,4.89,5.43,44691600,0,0
2020-03-18,5.15,5.23,4.53,4.75,58495300,0,0
2020-03-19,4.67,4.92,4.51,4.79,40726600,0,0
2020-03-20,4.8,4.93,4.41,4.44,58310800,0,0
2020-03-23,4.38,4.6,4.11,4.52,58213800,0,0
2020-03-24,4.8,4.98,4.7,4.98,50657800,0,0
2020-03-25,4.98,5.32,4.92,5.05,27040100,0,0
2020-03-26,5.07,5.35,5.07,5.2,27208100,0,0
2020-03-27,5.04,5.06,4.9,4.93,24632800,0,0
2020-03-30,4.96,5.08,4.76,4.81,34793000,0,0
2020-03-31,4.84,5.12,4.8,4.94,29402000,0,0
2020-04-01,4.76,4.91,4.6,4.64,26473100,0,0
2020-04-02,4.59,4.85,4.51,4.75,23163200,0,0
2020-04-03,4.73,4.76,4.41,4.48,20780700,0,0
2020-04-06,4.72,4.85,4.68,4.79,24069200,0,0
2020-04-07,4.92,5.1,4.82,4.91,28279100,0,0
2020-04-08,4.99,5.21,4.92,5.17,17521300,0,0
2020-04-09,5.24,5.38,5.15,5.25,21769700,0,0
