Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,25.81,27.16,25.45,27.09,26832500,0,0
2020-03-02,27.65,27.79,26.17,27.79,23253000,0,0
2020-03-03,27.62,27.91,26.27,26.81,22020400,0,0
2020-03-04,27.21,27.38,26.26,27.08,16155900,0,0
2020-03-05,26.13,26.25,25.24,25.83,15754600,0,0
2020-03-06,24.88,25.16,23.52,23.85,23793200,0,0
2020-03-09,17.9,17.9,12.91,17.31,86148000,0,0
2020-03-10,19.14,19.23,17.13,18.19,40409000,0,0
2020-03-11,17.32,18.14,17.05,17.38,33291900,0,0
2020-03-12,15.62,16.69,14.41,14.42,47922900,0,0
2020-03-13,15.72,16.17,14.32,16.16,29182100,0,0
2020-03-16,14.02,16.04,13.26,14.41,24971100,0,0
2020-03-17,14.54,14.56,13.11,14.0,25536500,0,0
2020-03-18,13.0,13.72,11.89,12.05,28198200,0,0
2020-03-19,12.17,14.28,11.87,13.87,25449300,0,0
2020-03-20,14.3,14.58,13.1,14.28,32875200,0,0
2020-03-23,14.17,14.43,12.6,12.83,24393500,0,0
2020-03-24,13.54,14.93,13.5,14.65,25812600,0,0
2020-03-25,14.99,15.87,13.58,14.6,24201200,0,0
2020-03-26,14.51,15.64,14.38,15.52,22180200,0,0
2020-03-27,14.54,14.7,13.74,13.76,21794500,0,0
2020-03-30,13.35,13.69,12.95,13.28,25981500,0,0
2020-03-31,13.88,13.89,13.3,13.49,25754200,0,0
2020-04-01,13.09,13.19,12.17,12.59,25393800,0,0
2020-04-02,13.1,14.99,12.95,13.88,33976500,0,0
2020-04-03,14.48,14.6,13.78,14.29,24822900,0,0
2020-04-06,14.96,15.82,14.53,15.67,24572200,0,0
2020-04-07,16.93,17.7,16.25,16.47,29091500,0,0
2020-04-08,16.9,17.39,16.43,17.28,16039000,0,0
2020-04-09,18.38,18.6,15.88,16.47,25065500,0,0
