Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,76.44,84.15,76.42,83.33,23486700,0,0
2020-03-02,82.8,84.42,79.57,80.67,17800000,0,0
2020-03-03,80.49,80.6,75.81,78.84,18049700,0,0
2020-03-04,78.35,79.49,75.82,79.26,13374600,0,0
2020-03-05,77.78,79.02,75.66,76.32,11269400,0,0
2020-03-06,75.03,75.94,70.27,73.09,16409400,0,0
2020-03-09,67.21,67.41,63.33,65.73,16418400,0,0
2020-03-10,68.32,68.56,63.37,67.24,11806900,0,0
2020-03-11,66.35,66.35,60.82,62.44,13618700,0,0
2020-03-12,55.0,58.04,52.97,53.57,19529200,0,0
2020-03-13,56.74,57.79,52.31,57.77,14666100,0,0
2020-03-16,49.25,49.25,40.0,41.27,27721300,0,0
2020-03-17,43.79,45.29,39.0,44.73,22695600,0,0
2020-03-18,41.03,42.08,32.33,39.5,27154600,0,0
2020-03-19,40.18,47.42,37.0,40.0,24555600,0,0
2020-03-20,41.85,43.84,37.8,38.09,26896800,0,0
2020-03-23,38.47,40.55,36.11,40.01,21783400,0,0
2020-03-24,43.5,48.88,42.56,46.31,26174700,0,0
2020-03-25,50.29,58.1,49.53,52.39,34929300,0,0
2020-03-26,53.79,59.25,53.78,56.03,23610400,0,0
2020-03-27,54.0,54.42,51.48,53.34,14655600,0,0
2020-03-30,52.9,55.44,51.53,55.0,12054300,0,0
2020-03-31,54.69,55.24,51.13,52.38,18349400,0,0
2020-04-01,49.78,50.01,46.05,46.81,16596400,0,0
2020-04-02,46.33,48.03,45.0,45.88,12871500,0,0
2020-04-03,46.02,46.68,42.33,43.72,18748600,0,0
2020-04-06,47.22,51.1,46.19,50.42,25521700,0,0
2020-04-07,54.78,54.91,49.7,50.31,17105000,0,0
2020-04-08,51.81,57.75,51.81,57.04,24785100,0,0
2020-04-09,58.88,64.94,58.5,59.21,30828000,0,0
