Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,28.68,29.19,28.07,29.1,17476000,0,0
2020-03-02,29.28,30.4,29.15,30.39,10614500,0,0
2020-03-03,30.22,30.67,28.71,28.87,9562500,0,0
2020-03-04,29.37,30.28,29.09,30.14,8613900,0,0
2020-03-05,29.04,29.87,28.98,29.26,10808400,0,0
2020-03-06,28.1,28.87,27.75,28.25,10763700,0,0
2020-03-09,26.09,26.28,24.69,25.02,10877400,0,0
2020-03-10,26.13,26.42,24.58,26.27,11415700,0,0
2020-03-11,25.5,25.85,24.19,24.49,14890200,0,0
2020-03-12,22.56,23.98,21.65,21.67,14723600,0,0
2020-03-13,23.41,24.16,22.22,24.13,13296400,0,0
2020-03-16,19.5,20.01,17.75,17.85,16192200,0,0
2020-03-17,18.42,18.86,16.1,17.46,18349900,0,0
2020-03-18,16.15,16.59,12.15,13.93,13580600,0,0
2020-03-19,13.63,15.38,12.31,14.6,15389700,0,0
2020-03-20,14.97,15.2,13.26,13.41,12910800,0,0
2020-03-23,13.28,13.44,12.25,12.8,14916800,0,0
2020-03-24,13.88,15.25,13.68,14.74,12388300,0,0
2020-03-25,15.79,17.32,15.11,16.66,13320000,0,0
2020-03-26,17.15,19.86,17.0,19.03,18977200,0,0
2020-03-27,17.92,18.18,16.85,17.1,11821100,0,0
2020-03-30,16.94,17.0,16.06,16.77,7263600,0,0
2020-03-31,16.68,16.84,15.96,16.09,10746700,0,0
2020-04-01,14.97,15.2,13.96,14.51,12834500,0,0
2020-04-02,14.33,15.13,13.71,14.31,9770100,0,0
2020-04-03,14.04,14.26,12.98,13.25,12080000,0,0
2020-04-06,14.32,15.67,14.17,15.49,11558200,0,0
2020-04-07,17.0,18.19,15.96,16.12,14933800,0,0
2020-04-08,16.56,17.03,16.1,16.82,9894400,0,0
2020-04-09,17.84,18.92,17.34,17.62,13613700,0,0
