Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,33.41,35.1,32.44,34.61,121099700,0.0,0
2020-03-02,34.76,36.77,34.68,36.54,68432800,0.0,0
2020-03-03,36.62,37.3,35.25,35.67,63808000,0.0,0
2020-03-04,36.38,37.56,36.09,37.52,42070400,0.0,0
2020-03-05,36.75,37.26,36.33,36.54,45298100,0.0,0
2020-03-06,36.08,36.61,35.55,36.39,48883100,0.0,0
2020-03-09,34.4,35.53,33.79,34.09,67968700,0.0,0
2020-03-10,34.9,35.27,33.65,35.23,56660600,0.0,0
2020-03-11,34.25,34.46,33.57,33.92,45296100,0.0,0
2020-03-12,31.31,32.85,30.52,30.79,84215200,0.0,0
2020-03-13,32.35,34.01,31.31,33.87,64688800,0.0,0
2020-03-16,30.46,33.3,30.39,31.26,58776600,0.0,0
2020-03-17,31.56,33.47,31.46,33.16,59642000,0.0,0
2020-03-18,31.45,32.34,29.73,32.28,76034400,0.0,0
2020-03-19,30.82,31.93,29.97,30.61,60817200,0.0,0
2020-03-20,29.93,29.97,27.69,27.96,116732300,0.0,0
2020-03-23,26.92,27.23,25.63,26.31,96884100,0.0,0
2020-03-24,27.52,27.81,26.38,27.6,76300900,0.0,0
2020-03-25,27.59,29.41,26.9,27.91,68027700,0.0,0
2020-03-26,28.18,30.42,28.18,30.07,64038000,0.0,0
2020-03-27,29.18,30.29,28.71,29.32,46386000,0.0,0
2020-03-30,29.38,29.88,28.97,29.71,41629900,0.0,0
2020-03-31,29.52,29.61,28.55,28.65,69813400,0.0,0
2020-04-01,27.89,28.09,27.22,27.57,54646000,0.0,0
2020-04-02,27.52,28.37,27.52,28.26,33818400,0.0,0
2020-04-03,28.04,28.24,26.78,26.99,53443200,0.0,0
2020-04-06,27.91,29.17,27.82,28.93,53502000,0.0,0
2020-04-07,29.91,30.43,29.55,29.56,54265500,0.0,0
2020-04-08,29.95,30.0,29.1,29.89,40793300,0.52,0
2020-04-09,30.0,30.94,29.99,30.73,50301800,0.0,0
