Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,11.34,11.98,11.01,11.53,30148100,0,0
2020-03-02,11.72,11.85,11.2,11.68,21096900,0,0
2020-03-03,11.74,12.02,10.88,11.21,20970700,0,0
2020-03-04,11.28,11.41,10.98,11.37,17482300,0,0
2020-03-05,10.98,11.15,10.76,10.98,15997900,0,0
2020-03-06,10.61,10.68,10.16,10.3,18336100,0,0
2020-03-09,8.94,9.2,8.0,8.88,30896300,0,0
2020-03-10,9.43,9.47,8.61,9.37,15888200,0,0
2020-03-11,9.11,9.41,8.99,9.01,16759200,0,0
2020-03-12,7.89,8.4,7.76,7.8,22873500,0,0
2020-03-13,8.36,8.42,7.3,8.4,19754100,0,0
2020-03-16,7.08,7.69,7.0,7.15,19685200,0,0
2020-03-17,7.41,7.49,6.9,7.34,18936100,0,0
2020-03-18,7.0,7.13,6.25,6.69,26957200,0,0
2020-03-19,6.77,7.53,6.55,7.17,29524900,0,0
2020-03-20,8.1,8.11,7.25,7.27,44520000,0,0
2020-03-23,7.77,7.8,7.4,7.49,28613300,0,0
2020-03-24,8.1,8.2,7.81,8.12,27902900,0,0
2020-03-25,8.05,8.22,7.57,7.84,28301700,0,0
2020-03-26,7.85,8.35,7.68,7.9,27419700,0,0
2020-03-27,7.74,7.81,7.51,7.56,21114700,0,0
2020-03-30,7.69,8.67,7.65,8.51,36659900,0,0
2020-03-31,8.98,9.43,8.85,8.98,34308400,0,0
2020-04-01,8.6,8.81,8.29,8.47,20949500,0,0
2020-04-02,8.45,8.55,7.95,8.12,20340300,0,0
2020-04-03,8.1,8.62,8.1,8.4,16162300,0,0
2020-04-06,9.0,9.48,8.85,9.46,27500600,0,0
2020-04-07,9.77,9.94,9.3,9.54,23810900,0,0
2020-04-08,9.58,9.88,9.51,9.84,15076400,0,0
2020-04-09,9.85,10.48,9.84,10.16,19761900,0,0
