Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,31.81,34.29,31.0,33.87,52100200,0,0
2020-03-02,34.05,34.08,31.74,32.85,46662000,0,0
2020-03-03,34.02,34.18,31.9,33.04,35182400,0,0
2020-03-04,33.93,35.34,32.28,34.53,44738600,0,0
2020-03-05,33.47,33.57,31.97,32.21,32764500,0,0
2020-03-06,31.23,32.41,30.45,31.68,34808700,0,0
2020-03-09,28.5,30.32,28.15,28.17,37439200,0,0
2020-03-10,29.47,29.86,27.0,28.97,36308300,0,0
2020-03-11,27.91,28.14,25.61,26.24,43067800,0,0
2020-03-12,23.26,24.69,22.11,22.61,54042000,0,0
2020-03-13,24.01,24.81,21.13,22.6,53844400,0,0
2020-03-16,20.15,21.49,19.1,20.29,56914000,0,0
2020-03-17,20.18,20.31,18.01,18.91,60003900,0,0
2020-03-18,17.76,17.8,13.71,14.82,78286200,0,0
2020-03-19,15.96,21.26,15.7,20.49,83988700,0,0
2020-03-20,22.53,23.89,20.61,21.33,76529700,0,0
2020-03-23,21.07,22.73,19.73,22.4,47787100,0,0
2020-03-24,24.41,26.84,23.59,26.39,58505000,0,0
2020-03-25,26.18,28.45,25.31,26.19,52473900,0,0
2020-03-26,26.6,28.44,25.78,28.12,41336400,0,0
2020-03-27,25.82,28.03,25.07,27.28,40292200,0,0
2020-03-30,26.33,28.39,25.31,27.83,37725700,0,0
2020-03-31,27.75,28.25,26.92,27.92,43126400,0,0
2020-04-01,26.5,26.77,24.81,25.42,38538400,0,0
2020-04-02,25.01,25.2,23.0,23.68,35838200,0,0
2020-04-03,23.73,23.79,21.67,22.82,40572000,0,0
2020-04-06,24.13,26.09,23.93,25.99,34692600,0,0
2020-04-07,27.95,28.11,25.5,25.74,36433800,0,0
2020-04-08,26.0,27.88,25.79,26.94,36166900,0,0
2020-04-09,27.88,28.89,26.46,27.11,36154200,0,0
