Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,173.79,182.33,172.98,181.76,22674700,0,0
2020-03-02,186.32,192.44,183.1,192.33,17434500,0,0
2020-03-03,193.2,194.04,184.5,185.73,15226400,0,0
2020-03-04,190.36,194.49,186.17,194.29,10789100,0,0
2020-03-05,191.24,191.92,185.64,186.96,10106900,0,0
2020-03-06,183.54,185.99,179.98,184.36,15183200,0,0
2020-03-09,171.21,179.57,168.31,171.13,20486400,0,0
2020-03-10,179.47,182.61,171.88,182.6,16119400,0,0
2020-03-11,177.65,178.73,170.2,172.95,14598200,0,0
2020-03-12,158.5,172.0,156.99,160.08,27467700,0,0
2020-03-13,168.72,176.32,162.21,175.83,19948900,0,0
2020-03-16,151.14,165.31,147.98,152.01,23692000,0,0
2020-03-17,155.75,163.7,149.25,157.89,22298000,0,0
2020-03-18,148.46,150.68,139.8,148.48,22787500,0,0
2020-03-19,146.92,157.25,141.47,152.25,19362800,0,0
2020-03-20,154.82,158.26,145.67,146.83,18692100,0,0
2020-03-23,141.33,143.35,133.93,135.74,30344100,0,0
2020-03-24,144.84,155.25,143.58,154.53,24488300,0,0
2020-03-25,159.32,168.18,153.58,161.78,20619600,0,0
2020-03-26,162.08,169.53,161.79,168.88,17062900,0,0
2020-03-27,161.08,167.1,158.15,161.56,14950700,0,0
2020-03-30,161.04,165.87,160.69,165.57,15714500,0,0
2020-03-31,166.43,168.19,160.54,161.12,20613100,0,0
2020-04-01,156.32,158.07,151.42,153.11,12595200,0,0
2020-04-02,152.53,158.35,151.29,157.39,14051100,0,0
2020-04-03,155.56,157.72,150.6,151.85,11994700,0,0
2020-04-06,160.02,170.73,158.25,169.44,16479100,0,0
2020-04-07,177.76,178.8,168.1,168.59,15379000,0,0
2020-04-08,171.01,176.0,167.93,174.94,11146500,0,0
2020-04-09,176.27,177.19,172.85,173.69,12225000,0,0
