Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,18.16,18.58,17.79,18.57,29172000,0.0,0
2020-03-02,18.69,19.11,18.02,19.11,21628600,0.0,0
2020-03-03,19.21,19.69,18.08,18.51,21729400,0.0,0
2020-03-04,18.82,18.95,18.52,18.94,10981600,0.0,0
2020-03-05,18.38,18.64,17.77,18.1,18141400,0.0,0
2020-03-06,17.53,17.55,16.69,17.01,23905700,0.0,0
2020-03-09,14.31,15.05,12.84,14.62,37463600,0.0,0
2020-03-10,15.39,16.22,13.83,15.88,33543100,0.0,0
2020-03-11,15.35,16.36,15.18,15.62,24863000,0.0,0
2020-03-12,14.47,14.47,13.28,13.29,22845500,0.4,0
2020-03-13,14.38,15.81,13.83,15.81,28506300,0.0,0
2020-03-16,13.61,14.21,13.02,13.49,17948900,0.0,0
2020-03-17,13.62,13.69,11.89,12.13,28707600,0.0,0
2020-03-18,11.2,11.34,8.7,9.25,44538500,0.0,0
2020-03-19,9.21,11.13,8.41,10.82,31158400,0.0,0
2020-03-20,11.66,12.57,11.0,11.53,25383800,0.0,0
2020-03-23,11.41,11.76,11.0,11.15,19182800,0.0,0
2020-03-24,11.8,13.0,11.59,12.92,17570900,0.0,0
2020-03-25,13.09,14.26,12.33,13.39,20759500,0.0,0
2020-03-26,13.64,14.81,13.01,14.25,16218700,0.0,0
2020-03-27,13.5,14.6,12.89,13.91,17717100,0.0,0
2020-03-30,13.75,14.09,12.94,13.82,19610600,0.0,0
2020-03-31,13.99,14.37,13.75,14.15,22671900,0.0,0
2020-04-01,13.75,14.25,13.2,13.33,18135200,0.0,0
2020-04-02,13.89,15.21,13.6,14.38,23678200,0.0,0
2020-04-03,14.65,15.07,13.18,13.65,27093600,0.0,0
2020-04-06,14.13,14.49,13.49,13.5,25110100,0.0,0
2020-04-07,14.66,15.88,14.14,15.15,30594200,0.0,0
2020-04-08,15.19,16.08,14.96,15.34,13552700,0.0,0
2020-04-09,16.02,16.71,15.61,16.59,20871100,0.0,0
