Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,25.25,27.04,25.14,27.02,9927900,0,0
2020-03-02,27.71,27.71,26.01,27.21,9163800,0,0
2020-03-03,27.09,27.27,26.11,26.92,8929900,0,0
2020-03-04,27.0,27.81,26.73,27.8,7931800,0,0
2020-03-05,27.1,30.47,27.0,28.39,20713800,0,0
2020-03-06,28.78,29.19,25.25,26.42,17042100,0,0
2020-03-09,24.33,25.05,23.13,24.89,10489100,0,0
2020-03-10,26.04,26.1,23.6,25.06,11114400,0,0
2020-03-11,24.8,25.28,22.86,23.62,9381500,0,0
2020-03-12,21.74,24.48,20.76,21.35,22313100,0,0
2020-03-13,21.02,21.02,15.9,19.59,49949500,0,0
2020-03-16,16.03,19.43,15.1,17.04,22321400,0,0
2020-03-17,17.05,21.37,16.76,19.9,21975500,0,0
2020-03-18,17.99,18.7,16.03,18.01,26186700,0,0
2020-03-19,18.67,21.62,17.85,21.01,42253700,0,0
2020-03-20,22.75,23.3,20.95,22.23,19419500,0,0
2020-03-23,22.83,24.98,21.87,24.75,18564100,0,0
2020-03-24,26.1,27.33,25.23,25.95,18741800,0,0
2020-03-25,26.0,27.74,25.38,25.88,14644100,0,0
2020-03-26,27.5,29.97,27.11,28.48,25945700,0,0
2020-03-27,27.75,29.54,26.32,28.58,17938500,0,0
2020-03-30,29.09,29.71,27.85,28.21,12831200,0,0
2020-03-31,28.36,28.44,26.52,26.84,11559500,0,0
2020-04-01,26.15,27.37,25.58,25.75,8348000,0,0
2020-04-02,25.48,26.25,23.56,24.26,11099800,0,0
2020-04-03,24.75,24.86,23.81,24.26,6540400,0,0
2020-04-06,22.78,25.48,22.6,24.31,13454700,0,0
2020-04-07,24.33,24.7,22.92,23.48,21658200,0,0
2020-04-08,23.9,25.08,23.37,24.9,10145100,0,0
2020-04-09,24.79,25.85,24.26,24.7,9963800,0,0
