Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,8.72,9.47,8.52,9.33,12982100,0,0
2020-03-02,9.5,9.52,8.74,9.08,13645800,0,0
2020-03-03,9.11,9.2,8.39,8.49,13132300,0,0
2020-03-04,8.64,8.74,8.1,8.21,9962100,0,0
2020-03-05,7.97,8.09,7.67,7.81,14010400,0,0
2020-03-06,7.41,7.55,6.35,6.5,17857800,0,0
2020-03-09,4.51,4.54,3.08,3.52,42831500,0,0
2020-03-10,4.11,4.36,3.63,4.34,27780300,0,0
2020-03-11,4.11,4.16,3.64,3.73,25915700,0,0
2020-03-12,3.43,3.49,3.09,3.31,31816500,0,0
2020-03-13,3.57,4.5,3.08,4.5,20507100,0,0
2020-03-16,3.47,3.92,3.33,3.41,23404800,0,0
2020-03-17,3.46,3.49,2.81,2.91,21552000,0,0
2020-03-18,2.72,2.76,1.94,2.11,24017700,0,0
2020-03-19,2.21,2.9,2.15,2.9,14011800,0,0
2020-03-20,3.04,3.48,2.74,2.82,29778100,0,0
2020-03-23,2.82,3.04,2.58,2.95,15784600,0,0
2020-03-24,3.25,3.42,3.06,3.33,14613200,0,0
2020-03-25,3.46,3.64,2.95,3.29,15436400,0,0
2020-03-26,3.34,3.62,3.01,3.35,12352200,0,0
2020-03-27,3.5,3.5,2.97,3.08,12604400,0,0
2020-03-30,3.01,3.03,2.47,2.81,20422300,0,0
2020-03-31,2.93,3.21,2.88,3.05,15637300,0,0
2020-04-01,2.83,2.98,2.65,2.75,11293500,0,0
2020-04-02,2.99,3.98,2.98,3.49,28684000,0,0
2020-04-03,3.84,3.98,3.37,3.78,25300300,0,0
2020-04-06,3.97,3.98,3.55,3.83,15641900,0,0
2020-04-07,4.16,4.6,3.81,3.85,17044400,0,0
2020-04-08,3.99,4.3,3.88,4.3,9967800,0,0
2020-04-09,4.78,4.93,4.01,4.32,19726400,0,0
