Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,121.07,121.93,97.37,105.0,21711000,0,0
2020-03-02,109.35,114.5,102.5,113.11,10157400,0,0
2020-03-03,114.55,119.2,112.11,117.47,11033700,0,0
2020-03-04,118.51,119.97,113.11,116.8,12102600,0,0
2020-03-05,110.25,129.83,110.0,125.0,28149400,0,0
2020-03-06,119.65,122.0,107.0,114.32,22975700,0,0
2020-03-09,105.0,116.5,100.88,113.75,14571300,0,0
2020-03-10,113.8,113.8,105.0,108.49,10244000,0,0
2020-03-11,108.41,113.99,107.0,110.3,12576700,0,0
2020-03-12,106.25,113.87,104.39,109.47,12097900,0,0
2020-03-13,113.0,113.8,104.16,107.47,9233500,0,0
2020-03-16,105.0,119.87,103.2,107.86,17210700,0,0
2020-03-17,107.33,113.83,102.0,111.1,18721500,0,0
2020-03-18,111.0,119.0,108.85,118.71,13594300,0,0
2020-03-19,122.95,132.23,119.1,123.77,16248400,0,0
2020-03-20,129.0,135.98,124.0,130.55,13872600,0,0
2020-03-23,142.0,164.94,137.25,159.56,27681500,0,0
2020-03-24,154.0,155.0,133.88,135.18,22401300,0,0
2020-03-25,140.1,149.0,136.2,138.11,14743000,0,0
2020-03-26,140.51,146.65,138.2,141.15,9252700,0,0
2020-03-27,145.7,154.97,145.6,151.7,13271900,0,0
2020-03-30,160.76,161.69,147.2,150.88,15762200,0,0
2020-03-31,147.02,149.79,143.36,146.12,10023700,0,0
2020-04-01,144.5,144.6,135.18,137.0,11453300,0,0
2020-04-02,125.3,133.49,114.5,121.93,27313800,0,0
2020-04-03,124.3,128.48,120.11,128.2,12238100,0,0
2020-04-06,113.63,125.18,108.53,122.94,25378900,0,0
2020-04-07,118.0,118.44,109.57,113.75,20166200,0,0
2020-04-08,115.02,125.88,112.5,117.81,26243300,0,0
2020-04-09,117.8,125.5,114.0,124.51,15483400,0,0
