Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28,6.57,6.82,6.49,6.71,25462700,0,0
2020-03-02,6.84,6.99,6.72,6.97,19379700,0,0
2020-03-03,7.07,7.07,6.82,6.88,22757700,0,0
2020-03-04,7.01,7.25,6.93,7.23,18810600,0,0
2020-03-05,7.1,7.42,7.07,7.23,26563400,0,0
2020-03-06,7.07,7.21,6.85,7.06,23107200,0,0
2020-03-09,6.57,6.8,6.48,6.53,23816000,0,0
2020-03-10,6.78,6.85,6.43,6.83,16803800,0,0
2020-03-11,6.69,6.77,6.53,6.69,24400400,0,0
2020-03-12,6.24,6.39,6.02,6.04,22442300,0,0
2020-03-13,6.49,6.57,6.18,6.55,19343300,0,0
2020-03-16,6.03,6.64,5.82,5.87,24883600,0,0
2020-03-17,6.1,6.55,5.65,6.07,24905900,0,0
2020-03-18,5.85,6.38,5.76,6.2,27366800,0,0
2020-03-19,6.2,6.65,6.11,6.36,23770300,0,0
2020-03-20,6.42,6.68,5.91,5.94,26987900,0,0
2020-03-23,6.05,6.39,5.96,6.26,22030700,0,0
2020-03-24,6.48,6.78,6.21,6.38,22407100,0,0
2020-03-25,6.4,6.49,6.15,6.21,15976200,0,0
2020-03-26,6.33,6.79,6.3,6.74,24747500,0,0
2020-03-27,6.72,6.86,6.58,6.7,20058800,0,0
2020-03-30,6.9,6.94,6.71,6.86,18205200,0,0
2020-03-31,6.84,7.04,6.76,6.85,16357600,0,0
2020-04-01,6.7,7.0,6.66,6.76,12252300,0,0
2020-04-02,6.71,6.79,6.55,6.68,24294300,0,0
2020-04-03,6.68,6.75,6.58,6.64,17779700,0,0
2020-04-06,6.8,6.88,6.6,6.81,25742600,0,0
2020-04-07,6.89,6.92,6.5,6.56,33106300,0,0
2020-04-08,6.62,6.93,6.51,6.78,30724300,0,0
2020-04-09,6.8,6.92,6.66,6.91,24770000,0,0
